"Time","Humidite_Interieur_Sud.mean","Humidite_Interieur_Nord.mean","Humidite_RELATIVE_E4000.mean","Humidite_ABSOLUE_E4000.mean"
"2019-04-03-07",32.79175,33.04125,29.05,6.493
"2019-04-03-08",32.241,36.172,29.51675,6.619
"2019-04-03-09",33.3665,35.9985,30,6.74
"2019-04-03-10",32.641,35.99825,29.8835,6.719
"2019-04-03-11",32.188,35.594,29.5835,6.65525
"2019-04-03-12",32.118,33.70175,29.88325,6.681
"2019-04-03-13",34.0625,36.059,30,6.68125
"2019-04-03-14",32.4835,38.63075,30,6.70925
"2019-04-03-15",33.59375,38.292,30,6.7165
"2019-04-03-16",34.0625,38.9705,30,6.70275
"2019-04-03-17",34.0625,37.877,30,6.69925
"2019-04-03-18",33.2355,38.42375,30,6.70075
"2019-04-03-19",34.0625,37.11975,29.75,6.64825
"2019-04-03-20",34.53125,34.77725,29,6.52
"2019-04-03-21",32.7115,35.483,29,6.5255
"2019-04-03-22",31.845,35.2205,28.25,6.35275
"2019-04-03-23",31.841,34.55875,28,6.30275
"2019-04-04-00",32.641,33.67625,28,6.3
"2019-04-04-01",31.48575,33.849,27.9,6.2825
"2019-04-04-02",33.547,34.11975,27.01675,6.1165
"2019-04-04-03",32.241,34.224,27,6.15275
"2019-04-04-04",32.694,33.7965,27,6.1525
"2019-04-04-05",33.547,34.54725,26.98325,6.145
"2019-04-04-06",34,34.11975,26.36675,5.99325
"2019-04-04-07",32.241,33.31225,26,5.90325
"2019-04-04-08",32.694,35.0315,26,5.899
"2019-04-04-09",33.28125,34.1465,26.7,6.04025
"2019-04-04-10",35.5325,34.6235,28,6.32975
"2019-04-04-11",35.40875,37.715,28.78325,6.53375
"2019-04-04-12",35.26375,37.78975,29.01675,6.57875
"2019-04-04-13",36.5,38.683,29,6.611
"2019-04-04-14",37,35.984,29,6.6545
"2019-04-04-15",35.05875,38.5185,29.71675,6.84975
"2019-04-04-16",35.55875,39.70575,30,6.90775
"2019-04-04-17",35.499,39.56675,29.2335,6.71325
"2019-04-04-18",35.51575,40.43775,29.88325,6.8475
"2019-04-04-19",34.11975,38.792,30,6.77675
"2019-04-04-20",34.594,39.75575,30,6.76125
"2019-04-04-21",34.53125,38.28175,30,6.7395
"2019-04-04-22",34.53125,38.87825,29.95,6.715
"2019-04-04-23",34.0625,38.81625,29.1,6.539
"2019-04-05-00",33.5865,41,29,6.521
"2019-04-05-01",33.627,35.5785,29,6.51875
"2019-04-05-02",32.641,37.41175,28.8,6.4725
"2019-04-05-03",31.5835,37.877,28,6.2905
"2019-04-05-04",32.188,36.80225,28,6.3
"2019-04-05-05",32.694,36.969,28,6.3265
"2019-04-05-06",33.547,36.42025,27.08325,6.12825
"2019-04-05-07",31.88575,35.5,27,6.123
"2019-04-05-08",34.51675,36.09,27.36675,6.19125
"2019-04-05-09",34.101,36.476,28.23325,6.37475
"2019-04-05-10",36.4675,39.283,29.83325,6.64825
"2019-04-05-11",34.30875,36.6305,29,6.602
"2019-04-05-12",36.5645,40.5105,29.85,6.69375
"2019-04-05-13",35.33425,40.844,29.43325,6.61025
"2019-04-05-14",36.059,38.3385,30,6.7115
"2019-04-05-15",36.4535,41.148,30.88325,6.78175
"2019-04-05-16",34.85875,42.40625,31,6.788
"2019-04-05-17",36,39.36325,31,6.8055
"2019-04-05-18",35.83725,40.01575,31,6.808
"2019-04-05-19",33.69225,39.093,31,6.75
"2019-04-05-20",34.54725,39.717,31,6.732
"2019-04-05-21",33.2845,40.266,31,6.73
"2019-04-05-22",32.42675,39.2455,31,6.73125
"2019-04-05-23",32.7115,39.783,31,6.7195
"2019-04-06-00",33.28125,38.81625,31,6.716
"2019-04-06-01",33.5625,34.727,31,6.698
"2019-04-06-02",35,38.81625,30.86675,6.69075
"2019-04-06-03",32.7115,38.3355,30,6.5125
"2019-04-06-04",34.11775,37.0645,30,6.51125
"2019-04-06-05",33.649,37.44825,30,6.54875
"2019-04-06-06",32.6335,37.995,29.4,6.454
"2019-04-06-07",33.649,36.547,29,6.37
"2019-04-06-08",32.739,35.483,29,6.384
"2019-04-06-09",31.76025,38.2345,29,6.4105
"2019-04-06-10",33.363,39.48525,29,6.43225
"2019-04-06-11",33.7965,38.42375,29.33325,6.5235
"2019-04-06-12",36.36675,38.045,30,6.6675
"2019-04-06-13",36,39.479,30,6.643
"2019-04-06-14",34.1175,38.25375,30,6.632
"2019-04-06-15",36,39.875,30.2335,6.683
"2019-04-06-16",34.23475,39.37875,31,6.84475
"2019-04-06-17",34.1765,38.8825,31,6.81275
"2019-04-06-18",34.069,36.37875,31,6.81
"2019-04-06-19",35.05875,38.32,31,6.81
"2019-04-06-20",36,37.7575,31,6.78075
"2019-04-06-21",36.5,38.9375,31,6.7715
"2019-04-06-22",36.5,38.375,31.25,6.811
"2019-04-06-23",35.1175,37.87875,31.83325,6.91925
"2019-04-07-00",35.05875,39.37875,31.6,6.8645
"2019-04-07-01",35.14075,38.54275,31.0335,6.7515
"2019-04-07-02",36.175,39.875,31,6.77075
"2019-04-07-03",35.10875,37.3825,31,6.802
"2019-04-07-04",36.5,39.3125,31,6.81
"2019-04-07-05",35.47575,36.32375,31,6.824
"2019-04-07-06",36.42225,36.0855,31,6.856
"2019-04-07-07",36.47625,37.8125,31,6.8845
"2019-04-07-08",36.61575,38.56525,31,6.90075
"2019-04-07-09",36.4795,38.375,31,6.92525
"2019-04-07-10",37.4845,39.3125,31,6.94125
"2019-04-07-11",37.4845,38.54275,31,6.9615
"2019-04-07-12",37.0295,37.8125,31,6.96
"2019-04-07-13",36.969,36.94125,31,6.964
"2019-04-07-14",36.6315,40.13075,31,6.9355
"2019-04-07-15",36.6315,39.88025,31.7,7.08325
"2019-04-07-16",35.9985,40.9065,32,7.122
"2019-04-07-17",37.4845,40.33375,32,7.108
"2019-04-07-18",36.4185,39.20875,32,7.05
"2019-04-07-19",35.9985,41.41675,32,7.03
"2019-04-07-20",36.969,40.13125,32.58325,7.1475
"2019-04-07-21",37.0295,40.9875,33,7.21075
"2019-04-07-22",37.4845,40.8595,33,7.188
"2019-04-07-23",36.514,40.266,33,7.17
"2019-04-08-00",35.139,38.28175,33,7.14075
"2019-04-08-01",37.4845,39.75575,33,7.13075
"2019-04-08-02",38.65025,37.7425,32.88325,7.10625
"2019-04-08-03",38.35975,38.72425,32,6.9365
"2019-04-08-04",36.9655,38.28175,32,6.95
"2019-04-08-05",40,37.29825,32,6.95925
"2019-04-08-06",38.42375,38.792,32,6.99
"2019-04-08-07",36.58175,39.17775,32,7.01475
"2019-04-08-08",37.61125,39.88025,32.05,7.05425
"2019-04-08-09",37.05075,40.73075,32.8835,7.2505
"2019-04-08-10",40.18775,42.24375,33.45,7.45125
"2019-04-08-11",39.1775,41.02525,34,7.60925
"2019-04-08-12",39.69825,40.50075,34.4335,7.67325
"2019-04-08-13",41.85625,42.46375,34.01675,7.499
"2019-04-08-14",39.75575,43.29075,34.3,7.54925
"2019-04-08-15",40.844,42.67025,34.9165,7.68225
"2019-04-08-16",41.4375,44.22525,35,7.71025
"2019-04-08-17",40.33375,43.63975,35,7.692
"2019-04-08-18",39.8805,42.9475,35,7.72675
"2019-04-08-19",38.81625,44.719,35,7.73
"2019-04-08-20",39.6095,43.513,34.91675,7.71725
"2019-04-08-21",38.9705,41.09775,34.08325,7.57025
"2019-04-08-22",38.9065,41.6345,34,7.5475
"2019-04-08-23",39.375,38.50625,34,7.544
"2019-04-09-00",38.071,39.412,34,7.534
"2019-04-09-01",35.6545,41.876,34,7.548
"2019-04-09-02",36.514,40.299,33.18325,7.36925
"2019-04-09-03",36.514,39.1115,33,7.32675
"2019-04-09-04",35.938,38.69475,33,7.33
"2019-04-09-05",36.514,38.71575,32.46675,7.21525
"2019-04-09-06",36.514,39.443,32,7.14275
"2019-04-09-07",37.068,39.17775,32,7.16925
"2019-04-09-08",34.14175,38.792,31.60025,7.08325
"2019-04-09-09",36.4535,41.8155,32,7.1955
"2019-04-09-10",38.01675,38.824,32,7.19875
"2019-04-09-11",37.87525,40.61875,32.56675,7.33275
"2019-04-09-12",38.9065,41.76575,33,7.4735
"2019-04-09-13",39.4575,43.11325,33.25,7.46975
"2019-04-09-14",39.6875,45.527,34.03325,7.659
"2019-04-09-15",39.40275,42.223,33.5,7.57225
"2019-04-09-16",38.87525,43.87325,33.9835,7.7085
"2019-04-09-17",37.58125,43.49925,34,7.667
"2019-04-09-18",36.8465,43.8585,34.71675,7.7625
"2019-04-09-19",39.317,43.60875,35,7.79
"2019-04-09-20",37.33025,44.60225,35,7.76575
"2019-04-09-21",39.45325,42.44525,35.68325,7.88175
"2019-04-09-22",39.45325,44.719,36,7.94925
"2019-04-09-23",39.45325,42.9475,36,7.914
"2019-04-10-00",38.35975,44.794,36,7.91075
"2019-04-10-01",38.2925,44.1535,35.86675,7.88225
"2019-04-10-02",38.62625,43.513,35,7.69225
"2019-04-10-03",38.9065,44.1535,35,7.70475
"2019-04-10-04",38.9065,43.588,35,7.724
"2019-04-10-05",38.9065,43.01075,35,7.74675
"2019-04-10-06",38.9065,42.9475,34.81675,7.73275
"2019-04-10-07",40,41.23925,34,7.55575
"2019-04-10-08",40.46675,44.22025,34.96675,7.8165
"2019-04-10-09",38.81625,44.64925,35.01675,7.9505
"2019-04-10-10",40.40525,45.39175,35.68325,8.15325
"2019-04-10-11",41.375,43.74475,36,8.22925
"2019-04-10-12",41.9895,44.68025,36.66675,8.29725
"2019-04-10-13",41.2885,47.0185,37,8.19825
"2019-04-10-14",40.7645,45.23625,37,8.1495
"2019-04-10-15",41.2885,47.32825,36.83325,8.0815
"2019-04-10-16",40.17075,47.32825,37,8.0675
"2019-04-10-17",42.40625,46.0635,36.98325,8.03625
"2019-04-10-18",40.9845,44.373,36.2,7.86525
"2019-04-10-19",41.422,44.59375,36,7.81925
"2019-04-10-20",40.266,44.45225,36,7.81
"2019-04-10-21",37.70375,42.12325,36,7.77575
"2019-04-10-22",38.214,42.7195,36,7.77075
"2019-04-10-23",39.2455,42.8725,36,7.77075
"2019-04-11-00",40.91175,41.7415,36,7.77325
"2019-04-11-01",40.33375,42.9475,36,7.79575
"2019-04-11-02",41.422,43.513,35.36675,7.6755
"2019-04-11-03",41.422,44.719,35,7.618
"2019-04-11-04",40.844,43.95325,35,7.62525
"2019-04-11-05",40.844,42.17225,35,7.6365
"2019-04-11-06",40.33375,42.7815,35,7.64
"2019-04-11-07",40.844,42.7815,35,7.6425
"2019-04-11-08",41.044,43.1815,35,7.67075
"2019-04-11-09",41.2885,40.7785,35.0835,7.73375
"2019-04-11-10",41.4625,43.21925,36.51675,8.16
"2019-04-11-11",42.17225,43.969,36,8.1
"2019-04-11-12",42.17225,45.85325,36.05,8.099
"2019-04-11-13",44.27625,47.64175,36.96675,8.2925
"2019-04-11-14",42.85925,47.87525,37.20025,8.34025
"2019-04-11-15",45.54275,48.9065,38,8.5465
"2019-04-11-16",44.7815,49.39075,38.11675,8.6
"2019-04-11-17",42.591,48.594,37.98325,8.49225
"2019-04-11-18",41.6345,44.52275,37.08325,8.2925
"2019-04-11-19",41.76575,45.3335,37,8.2815
"2019-04-11-20",42.797,47.625,37,8.30875
"2019-04-11-21",41.8125,44.905,37,8.3115
"2019-04-11-22",40.69475,45.313,36.28325,8.15625
"2019-04-11-23",41.41675,44.86475,36,8.0965
"2019-04-12-00",41.51575,43.6,36,8.09
"2019-04-12-01",39.2455,43.9565,36,8.09275
"2019-04-12-02",41.422,45.1085,35.31675,7.95325
"2019-04-12-03",40.33375,43.87325,35,7.86175
"2019-04-12-04",40.07725,44.45225,35,7.8625
"2019-04-12-05",39.3125,44.82425,35,7.8615
"2019-04-12-06",39.37875,41.3025,34.93325,7.8475
"2019-04-12-07",38.75,43.588,34,7.66125
"2019-04-12-08",39.84425,44.1535,34,7.702
"2019-04-12-09",38.33825,44.0015,34.31675,7.82925
"2019-04-12-10",37.20325,39.90375,32.21675,7.30525
"2019-04-12-11",38.9575,40.8735,33.21675,7.62275
"2019-04-12-12",39.3125,42.65475,34,7.7295
"2019-04-12-13",38.959,43.588,34.13325,7.62875
"2019-04-12-14",40.95325,45.3595,35,7.7225
"2019-04-12-15",37.933,44.719,35,7.70925
"2019-04-12-16",38.214,44.0785,35,7.702
"2019-04-12-17",40.266,43.0575,35,7.69075
"2019-04-12-18",39.75575,43.65125,35.05,7.701
"2019-04-12-19",41.10525,41.39075,35,7.6565
"2019-04-12-20",39.37875,41.706,35,7.64
"2019-04-12-21",39.875,38.99375,35,7.6265
"2019-04-12-22",40.4375,40.191,35,7.6
"2019-04-12-23",38.15725,42.24375,35,7.5665
"2019-04-13-00",40,40.547,34.95,7.549
"2019-04-13-01",37.877,40.17075,34,7.3435
"2019-04-13-02",40,40.22925,34,7.362
"2019-04-13-03",38.42375,41.148,33.78325,7.34175
"2019-04-13-04",38.9065,38.792,33,7.206
"2019-04-13-05",38.39175,41.422,33,7.2385
"2019-04-13-06",37.967,40.0785,32.08325,7.055
"2019-04-13-07",35.9985,38.81625,32,7.07725
"2019-04-13-08",37.4845,38.3125,31.18325,6.93175
"2019-04-13-09",35.6545,37.87875,31,6.94025
"2019-04-13-10",36.969,37.3825,31,6.96475
"2019-04-13-11",38.89,40.4375,31,6.99925
"2019-04-13-12",38.9065,38.658,31,6.98325
"2019-04-13-13",39.45325,40.844,31.98325,7.12575
"2019-04-13-14",38.35975,40.33375,32.25,7.106
"2019-04-13-15",38.9705,38.31875,32.9665,7.23575
"2019-04-13-16",39.45325,40.1555,33,7.1765
"2019-04-13-17",38.55325,39.072,33,7.1625
"2019-04-13-18",36.4535,43,33,7.154
"2019-04-13-19",36.4535,39.92925,33.01675,7.1335
"2019-04-13-20",34.647,37.70375,33,7.10875
"2019-04-13-21",36,40.266,33,7.09075
"2019-04-13-22",36.05875,39.75575,33,7.0715
"2019-04-13-23",34.6175,37.797,32.43325,6.923
"2019-04-14-00",36,38.32,32,6.83275
"2019-04-14-01",34.1175,37.8825,32,6.85
"2019-04-14-02",36.5,36.9215,32,6.88175
"2019-04-14-03",36.5,37.7575,31.36675,6.77
"2019-04-14-04",35.5695,38.101,31,6.71325
"2019-04-14-05",34.81425,37.33025,31,6.74
"2019-04-14-06",35.849,37.877,30.48325,6.677
"2019-04-14-07",35.51575,37.39425,30,6.596
"2019-04-14-08",34.305,38.9065,30,6.6305
"2019-04-14-09",35.90125,38.60325,30,6.6525
"2019-04-14-10",36.25,36.006,29.28325,6.54675
"2019-04-14-11",34.11975,36.514,29,6.531
"2019-04-14-12",34.224,35.028,29,6.52775
"2019-04-14-13",33.65,35.9985,29.3665,6.5135
"2019-04-14-14",34.70825,36.1095,29.95,6.587
"2019-04-14-15",33.45675,36.7125,30,6.566
"2019-04-14-16",34.063,38.35975,30.65,6.65375
"2019-04-14-17",35.0315,37.98475,31,6.73475
"2019-04-14-18",33.31225,38.32,31,6.75325
"2019-04-14-19",34.0415,38.32,31,6.708
"2019-04-14-20",33.229,39.57625,31,6.68
"2019-04-14-21",34.0625,37.46375,31,6.66
"2019-04-14-22",34.0625,37.44825,31,6.6545
"2019-04-14-23",33.125,39.45325,31,6.6235
"2019-04-15-00",33.649,35.377,31,6.63875
"2019-04-15-01",32.7115,38.42375,30.55,6.56175
"2019-04-15-02",35,37.81825,30,6.4595
"2019-04-15-03",34.53125,36.13475,30,6.4915
"2019-04-15-04",34.11775,35.028,30,6.51075
"2019-04-15-05",33.649,35.594,29.11675,6.3565
"2019-04-15-06",33.2355,35.938,29,6.37
"2019-04-15-07",33.59375,34.9605,28.98325,6.405
"2019-04-15-08",33.75,35.09,28.88325,6.39025
"2019-04-15-09",33.649,35.4715,28.45,6.36825
"2019-04-15-10",34.53725,35.139,29,6.514
"2019-04-15-11",35.4715,38.606,29.501,6.66425
"2019-04-15-12",37,37.9375,30,6.79675
"2019-04-15-13",35.70825,40.45325,30.25,6.86175
"2019-04-15-14",36.5,40.77725,31,6.957
"2019-04-15-15",34.5515,38.214,31,6.9315
"2019-04-15-16",37.5,39.58375,31.78325,7.03325
"2019-04-15-17",36.05875,40.7645,32,7.03
"2019-04-15-18",37,40.69475,32.38325,7.1135
"2019-04-15-19",34.55875,41.8125,33,7.19525
"2019-04-15-20",34.55875,42.40625,33,7.17075
"2019-04-15-21",35.901,40.69475,33,7.14925
"2019-04-15-22",35.465,41.88225,33,7.13
"2019-04-15-23",36,42.073,33,7.1195
"2019-04-16-00",36.05875,41.422,33,7.08925
"2019-04-16-01",35,40.844,33,7.08175
"2019-04-16-02",36.05875,40.33375,33,7.075
"2019-04-16-03",35.05875,40.33375,33,7.044
"2019-04-16-04",35.66675,40.266,33,7.04
"2019-04-16-05",35.55875,39.75575,33,7.05925
"2019-04-16-06",36.35525,38.73525,33,7.09075
"2019-04-16-07",35.9985,40.844,33,7.10725
"2019-04-16-08",38.7,37.91025,33.33325,7.18675
"2019-04-16-09",38.35975,42.40625,33.48325,7.34225
"2019-04-16-10",37.877,39.70525,33.1,7.7075
"2019-04-16-11",35.67025,40.90625,33.08325,7.94075
"2019-04-16-12",38.9065,40.101,33,8.06075
"2019-04-16-13",38.921,40.0575,34.16675,8.10075
"2019-04-16-14",40.4375,44.70325,34.93325,8.01975
"2019-04-16-15",38.81625,42.34875,34,8.1785
"2019-04-16-16",39.2295,41.43125,34,8.22325
"2019-04-16-17",39.32825,39.18125,34.05,8.236
"2019-04-16-18",39.45325,40.14575,34,8.27875
"2019-04-16-19",40,39.224,34,8.27275
"2019-04-16-20",38.2815,40.844,34,8.2905
"2019-04-16-21",39.45325,38.97775,34,8.30875
"2019-04-16-22",40,39.3125,34,8.31825
"2019-04-16-23",35.0695,38.75,34,8.3525
"2019-04-17-00",37.51225,38.25375,34,8.36
"2019-04-17-01",37.877,37.26125,34,8.36
"2019-04-17-02",40,38.75,34,8.36
"2019-04-17-03",36.316,38.707,34,8.35925
"2019-04-17-04",38.9705,37.995,34,8.36
"2019-04-17-05",38.87,37.877,33.93325,8.3425
"2019-04-17-06",38.9065,38.35975,33.05,8.1225
"2019-04-17-07",37.995,38.42375,33,8.11
