"Time","Humidite_Interieur_Sud.mean","Humidite_Interieur_Nord.mean","Humidite_RELATIVE_E4000.mean","Humidite_ABSOLUE_E4000.mean"
"2019-05-21-07",48,54,41,9.3065
"2019-05-21-08",47.47825,54,41.03325,9.321
"2019-05-21-09",49.979,54.4865,42.6335,9.643
"2019-05-21-10",51,56.11675,43.31675,9.72475
"2019-05-21-11",51.566,57,44.73325,9.882
"2019-05-21-12",51.5,56.25425,45,9.885
"2019-05-21-13",52.4905,57,45.01675,9.85375
"2019-05-21-14",52.7945,55.4705,45.1,9.97025
"2019-05-21-15",52.674,57,45.03325,9.95325
"2019-05-21-16",50.24475,56.8,44.48325,9.968
"2019-05-21-17",50.78325,55.20325,44.05,9.83375
"2019-05-21-18",51,53.40825,44,9.729
"2019-05-21-19",50.28125,54.15625,44.1,9.743
"2019-05-21-20",50.98325,54.21875,44,9.71075
"2019-05-21-21",50.28325,54.0855,44,9.67075
"2019-05-21-22",50.198,54,44,9.67075
"2019-05-21-23",50.8665,54,44,9.67
"2019-05-22-00",50.31675,51.7035,44,9.637
"2019-05-22-01",50,54,44,9.58825
"2019-05-22-02",49.297,52.65,44,9.53
"2019-05-22-03",49.76775,53,43.86675,9.449
"2019-05-22-04",49,52.25,43,9.22175
"2019-05-22-05",49,53,43,9.175
"2019-05-22-06",49,53,43,9.1265
"2019-05-22-07",49,53,42.28325,8.93425
"2019-05-22-08",48.52925,52.35,42.65,9.209
"2019-05-22-09",50,54,43.06675,9.28725
"2019-05-22-10",50.05,54.4825,43.31675,9.37725
"2019-05-22-11",49.249,55,43.64975,9.49875
"2019-05-22-12",51,55,44,9.564
"2019-05-22-13",49.5625,55,43.46675,9.531
"2019-05-22-14",50.28125,54.21875,43,9.5325
"2019-05-22-15",50.06675,55,43,9.6485
"2019-05-22-16",50,54.21875,43,9.76825
"2019-05-22-17",50,54.95,43,9.86225
"2019-05-22-18",48.594,52.469,43,9.991
"2019-05-22-19",50,54,43.83325,10.19175
"2019-05-22-20",49.297,54,44,10.228
"2019-05-22-21",49.252,53.1875,44,10.202
"2019-05-22-22",46.9375,53.98325,44,10.186
"2019-05-22-23",48.3125,52.31675,44,10.172
"2019-05-23-00",49,53,44,10.154
"2019-05-23-01",49,52.6355,44,10.10175
"2019-05-23-02",49,51,44,10.049
"2019-05-23-03",49,51,43.6,9.873
"2019-05-23-04",49,51,43,9.67425
"2019-05-23-05",47.7615,51,43,9.59575
"2019-05-23-06",48,51,42.96675,9.52525
"2019-05-23-07",48,50.76675,42.03325,9.288
"2019-05-23-08",47.32825,50.28125,42,9.26575
"2019-05-23-09",47.056,51.5765,42.28325,9.29475
"2019-05-23-10",49.3,53,43,9.45
"2019-05-23-11",50,52.25,43,9.45075
"2019-05-23-12",50,53,43,9.45
"2019-05-23-13",50,52.297,43,9.49675
"2019-05-23-14",50,53,43,9.575
"2019-05-23-15",50.21675,52.67725,42.61675,9.73425
"2019-05-23-16",51,55,43.06675,10.22275
"2019-05-23-17",50.7,54.25,44,10.342
"2019-05-23-18",50,53.2345,43.46675,10.325
"2019-05-23-19",50,51.62525,43.66675,10.49
"2019-05-23-20",49.297,54,44,10.562
"2019-05-23-21",49.65,54,44.25,10.581
"2019-05-23-22",49,53.9165,44,10.521
"2019-05-23-23",48.3125,53,44,10.52
"2019-05-24-00",49,52.73675,44,10.485
"2019-05-24-01",47.625,51,44,10.448
"2019-05-24-02",48.3125,50.28125,44,10.379
"2019-05-24-03",49,51,44,10.3125
"2019-05-24-04",49,49.5625,44,10.256
"2019-05-24-05",48.3125,49.5625,44,10.202
"2019-05-24-06",49.01675,50.28125,43.2,9.919
"2019-05-24-07",49.03025,51,43.01675,9.80775
"2019-05-24-08",49.23325,50.93325,42.95,9.77175
"2019-05-24-09",49,50.796,42.98325,9.827
"2019-05-24-10",50.561,53.06175,44.3165,9.96575
"2019-05-24-11",50.10725,53.25,44,10.0675
"2019-05-24-12",50.75,54.38325,44.46675,10.25725
"2019-05-24-13",50.28125,54,44.28325,10.30125
"2019-05-24-14",51,54,44.3,10.37425
"2019-05-24-15",50.28125,53.2345,44.1,10.418
"2019-05-24-16",50.8,54,44,10.514
"2019-05-24-17",50,54,44,10.68
"2019-05-24-18",48.594,53.252,43.6835,10.737
"2019-05-24-19",50,53,44,10.864
"2019-05-24-20",50,53,44,10.837
"2019-05-24-21",49.9845,53,44,10.866
"2019-05-24-22",48.6625,53,44,10.889
"2019-05-24-23",48.3125,52.25,44,10.891
"2019-05-25-00",49,53,44.56675,11.02275
"2019-05-25-01",48.3125,50.98675,44.03325,10.87225
"2019-05-25-02",49,51,44.4,10.91725
"2019-05-25-03",48.427,51,44.0835,10.826
"2019-05-25-04",48.00525,51,44,10.747
"2019-05-25-05",49.43325,51,44,10.674
"2019-05-25-06",50,50.28125,44,10.603
"2019-05-25-07",50.79275,51.1,44,10.534
"2019-05-25-08",49.5625,52.9705,44,10.47
"2019-05-25-09",51,53,44,10.422
"2019-05-25-10",50.28125,53,44,10.4
"2019-05-25-11",50.20325,53,44,10.384
"2019-05-25-12",50.28125,53,44,10.354
"2019-05-25-13",51,52.25,44,10.392
"2019-05-25-14",50.7,53,43.83325,10.40725
"2019-05-25-15",50.98325,53,43.85,10.472
"2019-05-25-16",49.68025,52.25,44,10.52
"2019-05-25-17",50.09375,53,44,10.488
"2019-05-25-18",49.647,53,44,10.46
"2019-05-25-19",50.34375,53,44.65,10.617
"2019-05-25-20",52.1945,52.25,45,10.6695
"2019-05-25-21",52.25,53,45,10.626
"2019-05-25-22",51,53,45,10.555
"2019-05-25-23",51,51.58825,44.6165,10.432
"2019-05-26-00",50.28125,53,44.01675,10.27675
"2019-05-26-01",51.2335,53,44,10.23
"2019-05-26-02",51.17175,53.59975,44,10.195
"2019-05-26-03",51.2075,54,44,10.116
"2019-05-26-04",51.5,54,44,10.042
"2019-05-26-05",52.0615,53.9665,44,9.942
"2019-05-26-06",51.73475,54,44,9.859
"2019-05-26-07",51.94225,54,43.5165,9.6855
"2019-05-26-08",52.60425,54,43,9.551
"2019-05-26-09",52.1945,54,43,9.5225
"2019-05-26-10",52.5605,53.2345,43,9.519
"2019-05-26-11",51.7255,53.2345,43,9.551
"2019-05-26-12",53,54,43,9.562
"2019-05-26-13",53,54,43,9.5815
"2019-05-26-14",53,54,43,9.63425
"2019-05-26-15",50.674,53.2345,43.55,9.81925
"2019-05-26-16",51,53.2345,44,9.949
"2019-05-26-17",50.28125,54,44,10.018
"2019-05-26-18",51,54,44,10.039
"2019-05-26-19",50.28125,54,44.05,10.0715
"2019-05-26-20",51,52.469,44.98325,10.28775
"2019-05-26-21",51,53.91675,45,10.29075
"2019-05-26-22",51,53,45,10.28875
"2019-05-26-23",51,53,45,10.241
"2019-05-27-00",51,53,45,10.208
"2019-05-27-01",51,52.25,45,10.166
"2019-05-27-02",51,52.25,44.86675,10.08175
"2019-05-27-03",51,52.25,44.15,9.883
"2019-05-27-04",51,52.25,44,9.80325
"2019-05-27-05",51,53,44,9.743
"2019-05-27-06",49.5625,53,44,9.6795
"2019-05-27-07",51.2805,51.45,44,9.67
"2019-05-27-08",53.01675,52.69575,44.38325,9.72725
"2019-05-27-09",53,54.052,45.1835,9.932
"2019-05-27-10",51.3235,52.65625,45.15,10.0915
"2019-05-27-11",52.5445,55,45,10.203
"2019-05-27-12",50.53125,55,45.16675,10.34425
"2019-05-27-13",51.21475,55.9,45.06675,10.45025
"2019-05-27-14",51.08325,56,45,10.496
"2019-05-27-15",50.28125,56,45,10.655
"2019-05-27-16",50.28125,55.38325,45,10.666
"2019-05-27-17",50.28125,55,45,10.737
"2019-05-27-18",51,55,45.31675,10.804
"2019-05-27-19",50.28125,54.21875,45.73325,10.828
"2019-05-27-20",50.71675,53.602,45.53325,10.77
"2019-05-27-21",47.9735,54,45.38325,10.733
"2019-05-27-22",50,54,45.6165,10.78675
"2019-05-27-23",49.21875,53.2345,45.18325,10.633
"2019-05-28-00",50,53.8595,45,10.541
"2019-05-28-01",49.297,53.01675,45,10.52
"2019-05-28-02",49.21875,52.25,45,10.52
"2019-05-28-03",50.48325,53,45,10.492
"2019-05-28-04",51,53,45,10.461
"2019-05-28-05",50.28125,53.2665,45,10.46
"2019-05-28-06",50.4845,53.86675,45,10.412
"2019-05-28-07",51,54,45,10.383
"2019-05-28-08",50.2145,54,44.63325,10.26275
"2019-05-28-09",49.6855,54.375,45.11675,10.36775
"2019-05-28-10",51,54.21875,45.51675,10.51875
"2019-05-28-11",51,55,45.1665,10.4985
"2019-05-28-12",NA,NA,NA,NA
"2019-05-28-13",NA,NA,NA,NA
"2019-05-28-14",NA,NA,NA,NA
"2019-05-28-15",NA,NA,NA,NA
"2019-05-28-16",NA,NA,NA,NA
"2019-05-28-17",NA,NA,NA,NA
"2019-05-28-18",NA,NA,NA,NA
"2019-05-28-19",NA,NA,NA,NA
"2019-05-28-20",NA,NA,NA,NA
"2019-05-28-21",NA,NA,NA,NA
"2019-05-28-22",NA,NA,NA,NA
"2019-05-28-23",NA,NA,NA,NA
"2019-05-29-00",NA,NA,NA,NA
"2019-05-29-01",NA,NA,NA,NA
"2019-05-29-02",NA,NA,NA,NA
"2019-05-29-03",NA,NA,NA,NA
"2019-05-29-04",NA,NA,NA,NA
"2019-05-29-05",NA,NA,NA,NA
"2019-05-29-06",NA,NA,NA,NA
"2019-05-29-07",NA,NA,NA,NA
"2019-05-29-08",NA,NA,NA,NA
"2019-05-29-09",NA,NA,NA,NA
"2019-05-29-10",NA,NA,NA,NA
"2019-05-29-11",NA,NA,NA,NA
"2019-05-29-12",NA,NA,NA,NA
"2019-05-29-13",NA,NA,NA,NA
"2019-05-29-14",NA,NA,NA,NA
"2019-05-29-15",NA,NA,NA,NA
"2019-05-29-16",NA,NA,NA,NA
"2019-05-29-17",51.682,53.9583333333333,43.189,9.386
"2019-05-29-18",51,55,43.8,9.516
"2019-05-29-19",51,54.21875,44,9.54675
"2019-05-29-20",51,55,44,9.50025
"2019-05-29-21",50.81675,54.48325,44,9.459
"2019-05-29-22",50.2645,53.2345,43.91675,9.3855
"2019-05-29-23",50.25,54,43,9.14175
"2019-05-30-00",48.7815,54,43,9.09825
"2019-05-30-01",50.96675,53.2345,43,9.02625
"2019-05-30-02",51,54,43,8.93425
"2019-05-30-03",50.28125,53.2345,43,8.895
"2019-05-30-04",51,53.91875,43,8.8085
"2019-05-30-05",50.28125,53.11675,43,8.7115
"2019-05-30-06",51,53,43,8.6175
"2019-05-30-07",51,53.56675,43,8.52675
"2019-05-30-08",50.20325,54,42.4665,8.4135
"2019-05-30-09",50.28125,54,42,8.28825
"2019-05-30-10",52.2395,54,42,8.245
"2019-05-30-11",52.91175,54,42.03325,8.2925
"2019-05-30-12",50.75,53.46175,42.8665,8.49225
"2019-05-30-13",52.25,54.11675,42.95,8.576
"2019-05-30-14",52.25,54,42.75,8.5975
"2019-05-30-15",52.26325,54,42.21675,8.57825
"2019-05-30-16",50.28125,54,42.73325,8.805
"2019-05-30-17",51,54,42.41675,8.83875
"2019-05-30-18",51,54,42.78325,9.068
"2019-05-30-19",50.28125,54,43.36675,9.3025
"2019-05-30-20",51,54,44,9.502
"2019-05-30-21",50.28125,54,44.55,9.6125
"2019-05-30-22",50.28125,54,45,9.72075
"2019-05-30-23",50.24775,53.4375,45,9.72425
"2019-05-31-00",50.21875,53.7345,45,9.72
"2019-05-31-01",50.96675,52.25,45,9.698
"2019-05-31-02",50.91675,53,45,9.66025
"2019-05-31-03",51,53,45,9.5735
"2019-05-31-04",51,53,45,9.48575
"2019-05-31-05",51,52.25,45,9.4015
"2019-05-31-06",51,53,44.11675,9.1545
"2019-05-31-07",51,53,44,9.10325
"2019-05-31-08",51,51.5,44,9.12425
"2019-05-31-09",50.28125,53,43.45,9.0145
"2019-05-31-10",51,53,43,8.92
"2019-05-31-11",50.28125,53,43,8.92
"2019-05-31-12",51,53,43,8.973
"2019-05-31-13",51,53,43.3165,9.133
"2019-05-31-14",51,52.91675,44,9.366
"2019-05-31-15",51,54,44.13325,9.50025
"2019-05-31-16",51,54,44,9.631
"2019-05-31-17",51,54,44,9.779
"2019-05-31-18",50.28125,53.15625,44.01675,10.02425
"2019-05-31-19",51,53.2345,44.05,10.2235
"2019-05-31-20",51,54,45,10.472
"2019-05-31-21",51,54,45.25,10.5175
"2019-05-31-22",51,53.2345,46,10.733
"2019-05-31-23",50.28125,54,46,10.75
"2019-06-01-00",51,54,46,10.75
"2019-06-01-01",51,54,46,10.751
"2019-06-01-02",51,53.11675,46,10.75
"2019-06-01-03",51,53,46,10.722
"2019-06-01-04",51,53,46,10.692
"2019-06-01-05",48.92825,53,46,10.613
"2019-06-01-06",50.28125,53,46,10.517
"2019-06-01-07",51.65,53,45.58325,10.32575
"2019-06-01-08",51.99475,51.83825,45,10.27075
"2019-06-01-09",52.94125,54,45,10.29325
"2019-06-01-10",51.7,54,45,10.3085
"2019-06-01-11",51.2895,54,45,10.363
"2019-06-01-12",52.9,54,44.6165,10.353
"2019-06-01-13",52.25,54,44.36675,10.35525
"2019-06-01-14",52.25,53.2345,45,10.568
"2019-06-01-15",52.25,54,45,10.701
"2019-06-01-16",52.25,54,45,10.927
"2019-06-01-17",51.3705,53.2345,45,11.1345
"2019-06-01-18",51,54,45,11.374
"2019-06-01-19",51,54,45,11.58725
"2019-06-01-20",50.28125,53.2345,45.3,11.70925
"2019-06-01-21",51,54,46,11.89575
"2019-06-01-22",51.71425,54,46,11.96
"2019-06-01-23",53,54,46.7665,12.22025
"2019-06-02-00",52.111,53.2345,46.96675,12.29625
"2019-06-02-01",51.567,53.2345,46.7,12.225
"2019-06-02-02",52.91325,54,47,12.28175
"2019-06-02-03",53,54,46.35,12.05075
"2019-06-02-04",53,53.41675,46,11.89375
"2019-06-02-05",53,53,46,11.876
"2019-06-02-06",53,53,46,11.7345
"2019-06-02-07",53,53,46,11.6615
"2019-06-02-08",53,53.9,45.98325,11.68925
"2019-06-02-09",53,54,45.03325,11.476
"2019-06-02-10",53,54,45,11.475
"2019-06-02-11",53,54,45,11.543
"2019-06-02-12",53,54,45,11.606
"2019-06-02-13",53,54,45,11.682
"2019-06-02-14",53,53.2345,45,11.818
"2019-06-02-15",51.41475,54,45,11.978
"2019-06-02-16",51,54,44.95,12.17475
"2019-06-02-17",51,53.2345,44.4665,12.25675
"2019-06-02-18",51,53.9665,44.05,12.38175
"2019-06-02-19",50.51675,53.51675,44,12.604
"2019-06-02-20",49.02725,52.86375,44.75,12.93275
"2019-06-02-21",49.8595,53.46675,45,12.99125
"2019-06-02-22",50,53,45.53325,13.2125
"2019-06-02-23",49.8595,52.25,45.3,13.147
"2019-06-03-00",48.83325,53.85,45,13.0625
"2019-06-03-01",48.05,53.1,44.78325,12.99725
"2019-06-03-02",48,51.89475,44,12.72675
"2019-06-03-03",48,51,44,12.67325
"2019-06-03-04",48,49.99375,44,12.5855
"2019-06-03-05",48.98325,50.2165,44,12.461
"2019-06-03-06",49,50.91675,44,12.372
"2019-06-03-07",48.3125,50.03525,44,12.2935
"2019-06-03-08",47.25625,48.6655,41.63325,11.49475
"2019-06-03-09",45.68675,46.8665,39.06675,10.514
"2019-06-03-10",46,47.06675,40,10.96
"2019-06-03-11",46.41675,47.7,39.98325,11.01625
"2019-06-03-12",46.34375,48.26675,40.35,11.247
"2019-06-03-13",47.1615,49.15,41.01675,11.676
"2019-06-03-14",45.385,50.75,42.333,12.308
"2019-06-03-15",NA,NA,NA,NA
"2019-06-03-16",NA,NA,NA,NA
"2019-06-03-17",NA,NA,NA,NA
"2019-06-03-18",NA,NA,NA,NA
"2019-06-03-19",NA,NA,NA,NA
"2019-06-03-20",NA,NA,NA,NA
"2019-06-03-21",NA,NA,NA,NA
"2019-06-03-22",NA,NA,NA,NA
"2019-06-03-23",NA,NA,NA,NA
"2019-06-04-00",NA,NA,NA,NA
"2019-06-04-01",NA,NA,NA,NA
"2019-06-04-02",NA,NA,NA,NA
"2019-06-04-03",NA,NA,NA,NA
"2019-06-04-04",NA,NA,NA,NA
"2019-06-04-05",NA,NA,NA,NA
"2019-06-04-06",NA,NA,NA,NA
"2019-06-04-07",NA,NA,NA,NA
"2019-06-04-08",NA,NA,NA,NA
"2019-06-04-09",NA,NA,NA,NA
"2019-06-04-10",NA,NA,NA,NA
"2019-06-04-11",NA,NA,NA,NA
"2019-06-04-12",NA,NA,NA,NA
"2019-06-04-13",NA,NA,NA,NA
"2019-06-04-14",NA,NA,NA,NA
"2019-06-04-15",NA,NA,NA,NA
"2019-06-04-16",NA,NA,NA,NA
"2019-06-04-17",NA,NA,NA,NA
"2019-06-04-18",NA,NA,NA,NA
"2019-06-04-19",NA,NA,NA,NA
"2019-06-04-20",NA,NA,NA,NA
"2019-06-04-21",NA,NA,NA,NA
"2019-06-04-22",NA,NA,NA,NA
"2019-06-04-23",NA,NA,NA,NA
"2019-06-05-00",NA,NA,NA,NA
"2019-06-05-01",NA,NA,NA,NA
"2019-06-05-02",NA,NA,NA,NA
"2019-06-05-03",NA,NA,NA,NA
"2019-06-05-04",NA,NA,NA,NA
"2019-06-05-05",NA,NA,NA,NA
"2019-06-05-06",NA,NA,NA,NA
"2019-06-05-07",NA,NA,NA,NA
"2019-06-05-08",NA,NA,NA,NA
"2019-06-05-09",NA,NA,NA,NA
"2019-06-05-10",NA,NA,NA,NA
"2019-06-05-11",NA,NA,NA,NA
"2019-06-05-12",NA,NA,NA,NA
"2019-06-05-13",NA,NA,NA,NA
"2019-06-05-14",NA,NA,NA,NA
"2019-06-05-15",NA,NA,NA,NA
"2019-06-05-16",NA,NA,NA,NA
"2019-06-05-17",NA,NA,NA,NA
"2019-06-05-18",NA,NA,NA,NA
"2019-06-05-19",NA,NA,NA,NA
"2019-06-05-20",NA,NA,NA,NA
"2019-06-05-21",NA,NA,NA,NA
"2019-06-05-22",NA,NA,NA,NA
"2019-06-05-23",NA,NA,NA,NA
"2019-06-06-00",NA,NA,NA,NA
"2019-06-06-01",NA,NA,NA,NA
"2019-06-06-02",NA,NA,NA,NA
"2019-06-06-03",NA,NA,NA,NA
"2019-06-06-04",NA,NA,NA,NA
"2019-06-06-05",NA,NA,NA,NA
"2019-06-06-06",NA,NA,NA,NA
"2019-06-06-07",NA,NA,NA,NA
"2019-06-06-08",NA,NA,NA,NA
"2019-06-06-09",39.86675,41.18325,33.05,9.05925
"2019-06-06-10",40.922,42.08325,34.2165,9.39825
"2019-06-06-11",42,43,35,9.585
"2019-06-06-12",NA,NA,NA,NA
"2019-06-06-13",NA,NA,NA,NA
"2019-06-06-14",NA,NA,NA,NA
"2019-06-06-15",NA,NA,NA,NA
"2019-06-06-16",45.6375,47.2335,38.05,10.3965
"2019-06-06-17",47,47.7665,38,10.38
"2019-06-06-18",45.6875,48,38,10.382
"2019-06-06-19",47,47.32825,38,10.37
"2019-06-06-20",45.6875,48,38.63325,10.5305
"2019-06-06-21",47,48,39,10.552
"2019-06-06-22",47,47.32825,39,10.487
"2019-06-06-23",47,48,39,10.402
"2019-06-07-00",47,48,39,10.32075
"2019-06-07-01",47,48,39,10.21175
"2019-06-07-02",46.26575,48,39,10.106
"2019-06-07-03",47,48,39,10.028
"2019-06-07-04",47,48,39,9.9155
"2019-06-07-05",47,47.32825,38.05,9.557
"2019-06-07-06",47,47.32825,38,9.412
"2019-06-07-07",47.11675,48,38,9.325
"2019-06-07-08",48.1,48.15275,39.03325,9.4955
"2019-06-07-09",49,50.5085,40,9.72
"2019-06-07-10",NA,NA,NA,NA
"2019-06-07-11",NA,NA,NA,NA
"2019-06-07-12",NA,NA,NA,NA
"2019-06-07-13",NA,NA,NA,NA
"2019-06-07-14",NA,NA,NA,NA
"2019-06-07-15",NA,NA,NA,NA
"2019-06-07-16",NA,NA,NA,NA
"2019-06-07-17",42.10875,44.861,36,9.3115
"2019-06-07-18",42.40625,46,36.4835,9.435
"2019-06-07-19",43.73325,46,37.06675,9.57725
"2019-06-07-20",42.71025,46,38,9.82
"2019-06-07-21",42.40625,46,38,9.82
"2019-06-07-22",43.15,44.719,38.31675,9.90225
"2019-06-07-23",45.055,46.88325,39,10.0435
"2019-06-08-00",45.3595,47,39.45,10.081
"2019-06-08-01",46.4,47,40,10.126
"2019-06-08-02",47,46.34375,40,10.03875
"2019-06-08-03",46.34375,47.047,40,9.9435
"2019-06-08-04",46.26575,47.2615,40,9.855
"2019-06-08-05",47,48,40,9.79825
"2019-06-08-06",46.34375,48,39.1335,9.4895
"2019-06-08-07",47,48,39,9.35675
"2019-06-08-08",47,47.32825,39,9.322
"2019-06-08-09",47,48,39,9.29675
"2019-06-08-10",47,48.53325,38.5165,9.15475
"2019-06-08-11",46.34375,49,38.5,9.135
"2019-06-08-12",47.01575,48.3125,38.06675,9.02775
"2019-06-08-13",47,48.2,38,9.03075
"2019-06-08-14",47,48,38,9.08225
"2019-06-08-15",47,48,38,9.14725
"2019-06-08-16",45.6875,47.375,38.16675,9.29075
"2019-06-08-17",46.34375,47.32825,39,9.59525
"2019-06-08-18",46.34375,48,39,9.70675
"2019-06-08-19",46.34375,48,39,9.81275
"2019-06-08-20",46.82825,48,39.18325,9.89975
"2019-06-08-21",45.3595,48,40,10.06
"2019-06-08-22",44.719,48,40,10.06
"2019-06-08-23",45.3595,48,40,10.032
"2019-06-09-00",46,47.8,40,9.993
"2019-06-09-01",46,47,40,9.93275
"2019-06-09-02",46,47,40,9.86275
"2019-06-09-03",46,47,40,9.8275
"2019-06-09-04",46.65,47,40,9.75475
"2019-06-09-05",46.34375,47.05,40,9.6875
"2019-06-09-06",47.2325,47.32825,40,9.61675
"2019-06-09-07",47.32825,47.32825,40,9.54325
"2019-06-09-08",47.32825,48.46675,40,9.4665
"2019-06-09-09",48.08325,49,40,9.377
"2019-06-09-10",48.3835,49,40,9.35
"2019-06-09-11",48.13025,48.39075,40.05,9.31325
"2019-06-09-12",48.3125,50,40.3,9.344
"2019-06-09-13",47.625,49.297,41,9.44275
"2019-06-09-14",49,50,41,9.4175
"2019-06-09-15",49.01675,50.01675,41.03325,9.428
"2019-06-09-16",49.06675,49.297,41.08325,9.44025
"2019-06-09-17",49.93325,49.7805,41.75,9.6155
"2019-06-09-18",50,51,42.9665,9.8725
"2019-06-09-19",50,50.28125,43.2835,9.947
"2019-06-09-20",50,51,43,9.8475
"2019-06-09-21",49.80325,51,43,9.812
"2019-06-09-22",50.88325,49.6725,43,9.7375
"2019-06-09-23",49.825,51,42.7665,9.6425
"2019-06-10-00",50.2835,51,42.13325,9.45025
"2019-06-10-01",49.77625,51,42.15,9.39825
"2019-06-10-02",50.248,51.15,42.9165,9.5085
"2019-06-10-03",51,51.579,43,9.46675
"2019-06-10-04",51,53,43,9.45
"2019-06-10-05",51,53,43,9.38975
"2019-06-10-06",50.28125,53,43,9.33175
"2019-06-10-07",51,52.25,43,9.28
"2019-06-10-08",51,53,43,9.22425
"2019-06-10-09",51,53,43,9.18575
"2019-06-10-10",50.28125,53,43.13325,9.208
"2019-06-10-11",50.28125,52.25,43,9.16925
"2019-06-10-12",51,53.1,43.06675,9.14575
"2019-06-10-13",51,53,43,9.11325
"2019-06-10-14",51,53,43.0835,9.095
"2019-06-10-15",51,53.65,43.26675,9.0935
"2019-06-10-16",50.74625,54,43.68325,9.14925
"2019-06-10-17",51.43125,54,43.66675,9.0825
"2019-06-10-18",51.25525,54,43.85,9.1
"2019-06-10-19",52.2285,54,44,9.125
"2019-06-10-20",52.6305,54,44,9.0815
"2019-06-10-21",53,54,44,9.03325
"2019-06-10-22",52.25,54,44,8.98825
"2019-06-10-23",52.25,54,43.9,8.902
"2019-06-11-00",53,53.81675,43.03325,8.6815
"2019-06-11-01",52.451,52.26575,43,8.61175
"2019-06-11-02",51.8575,53,43,8.554
"2019-06-11-03",51.8705,53,43,8.49575
"2019-06-11-04",51.37075,52.90625,43,8.4375
"2019-06-11-05",50.3915,53,43,8.42
"2019-06-11-06",51.7325,50.75,43,8.40325
"2019-06-11-07",51.86225,52.25,43,8.34575
"2019-06-11-08",52.223,53,43,8.27725
"2019-06-11-09",53,53,43,8.21925
"2019-06-11-10",53,53,43,8.17075
"2019-06-11-11",53.35,53.58325,43.48325,8.27625
"2019-06-11-12",50.31675,52.13325,41.4665,8.53975
"2019-06-11-13",49.55,50.603,40.5665,8.83875
"2019-06-11-14",50.61675,52.9865,41.781,9.3105
"2019-06-11-15",51,55,43,9.685
"2019-06-11-16",51.42425,54.38325,43.56675,9.785
"2019-06-11-17",51,56,43.13325,9.64
"2019-06-11-18",49.7825,56,43,9.62675
"2019-06-11-19",50,56,43,9.679
"2019-06-11-20",50,56,43,9.701
"2019-06-11-21",49.297,55.20325,43,9.72075
"2019-06-11-22",50,56,43,9.72075
"2019-06-11-23",49.86775,55.7,43,9.74825
"2019-06-12-00",48.3125,55,42.91675,9.74675
"2019-06-12-01",48.3125,55,42.06675,9.5665
"2019-06-12-02",49,55,42,9.55675
"2019-06-12-03",48.3125,55,42,9.56825
"2019-06-12-04",49,55,42,9.58675
"2019-06-12-05",49,55,42,9.59025
"2019-06-12-06",49,55,42,9.59075
"2019-06-12-07",48.3125,55,41.45,9.4735
"2019-06-12-08",48.82825,54.76575,42.71675,9.67425
"2019-06-12-09",52.75,56.74575,44,9.767
"2019-06-12-10",53.01675,57,44,9.72225
"2019-06-12-11",53,57,44,9.7165
"2019-06-12-12",52.89375,57,44.41675,9.72575
"2019-06-12-13",53.0665,56.1875,44,9.618
"2019-06-12-14",53,55.40325,44,9.67
"2019-06-12-15",53,55.20325,44,9.6775
"2019-06-12-16",53,56,44,9.77725
"2019-06-12-17",53,56,44,9.90125
"2019-06-12-18",53,55.20325,44,10.06575
"2019-06-12-19",53,55.20325,44,10.2
"2019-06-12-20",53,56,44.93325,10.41775
"2019-06-12-21",52.62225,55.18775,45,10.362
"2019-06-12-22",50.28125,55,45,10.341
"2019-06-12-23",51,54.21875,45,10.342
"2019-06-13-00",51,54.68325,45,10.32425
"2019-06-13-01",51,54,45,10.29
"2019-06-13-02",51,54,45,10.209
"2019-06-13-03",51,53.58325,45,10.14125
"2019-06-13-04",51,53,44.66675,9.98
"2019-06-13-05",51,51.58825,44,9.758
"2019-06-13-06",49.547,53,44,9.695
"2019-06-13-07",49.297,53,44,9.67075
"2019-06-13-08",50.38325,53,43.93325,9.662
"2019-06-13-09",51,52.98325,44,9.76375
"2019-06-13-10",51.23525,54.9095,44.63325,9.96025
"2019-06-13-11",52.25,55,45.01675,10.01975
"2019-06-13-12",53,55,45,10.08375
"2019-06-13-13",53,55,45,10.204
"2019-06-13-14",51.2395,54.28325,42.86675,9.973
"2019-06-13-15",46.2495,48.56625,37.28325,8.91525
"2019-06-13-16",41.475,44.33125,34.8835,8.556
"2019-06-13-17",44.21475,47.48325,38.18325,9.28475
"2019-06-13-18",46.53325,48.91675,39.8,9.762
"2019-06-13-19",46.89075,49.46875,41.1,10.125
"2019-06-13-20",48.4,50.71675,42.3,10.459
"2019-06-13-21",49,51,43.05,10.6425
"2019-06-13-22",49.05,51,44,10.882
"2019-06-13-23",49,51,44,10.932
"2019-06-14-00",49,51,44,10.941
"2019-06-14-01",49.71575,51,44,10.93075
"2019-06-14-02",49.2645,51,44,10.892
"2019-06-14-03",48.603,50.28125,44,10.854
"2019-06-14-04",49.297,51,44,10.82
"2019-06-14-05",50,51,44,10.796
"2019-06-14-06",50,50.28125,44,10.686
"2019-06-14-07",50,50.28125,44,10.623
"2019-06-14-08",50.15,50.28125,44,10.563
"2019-06-14-09",54.899,53.84925,48.4,11.62975
"2019-06-14-10",56.148,56.32825,49.91675,12
"2019-06-14-11",54.7365,56.9845,48.71675,11.747
"2019-06-14-12",55,56.78325,48.76675,11.7835
