"Time","Mur_Temp_1_1.mean","Mur_Temp_1_2.mean","Mur_Temp_1_3.mean"
"2019-03-29-11",17.2007142857143,14.9004285714286,14.2591428571429
"2019-03-29-12",17.2821666666667,15.137,14.9384166666667
"2019-03-29-13",17.441,15.5135,15.8379166666667
"2019-03-29-14",17.6289166666667,15.9621666666667,16.7688333333333
"2019-03-29-15",17.9015833333333,16.4663333333333,17.6598333333333
"2019-03-29-16",18.1921666666667,17.0021666666667,18.3790833333333
"2019-03-29-17",18.4775,17.514,18.7486666666667
"2019-03-29-18",18.717,17.9234166666667,18.5261666666667
"2019-03-29-19",18.9281666666667,18.1328333333333,17.8909166666667
"2019-03-29-20",19.0991666666667,18.1555833333333,17.29325
"2019-03-29-21",19.19425,18.0784166666667,16.7593333333333
"2019-03-29-22",19.2098333333333,17.9333333333333,16.2736666666667
"2019-03-29-23",19.1800833333333,17.7510833333333,15.8843333333333
"2019-03-30-00",19.1109166666667,17.5500833333333,15.4716666666667
"2019-03-30-01",19.0206666666667,17.3271666666667,15.0375
"2019-03-30-02",18.9080833333333,17.085,14.63025
"2019-03-30-03",18.7818333333333,16.8295,14.191
"2019-03-30-04",18.64725,16.5585,13.7504166666667
"2019-03-30-05",18.5124166666667,16.2775833333333,13.3243333333333
"2019-03-30-06",18.3719166666667,15.9935,12.92375
"2019-03-30-07",18.2338333333333,15.7175,12.7030833333333
"2019-03-30-08",18.0996666666667,15.504,12.9745833333333
"2019-03-30-09",17.9909166666667,15.4296666666667,13.4885
"2019-03-30-10",17.9205,15.4875,14.1933333333333
"2019-03-30-11",17.90475,15.6738333333333,15.04675
"2019-03-30-12",17.9339166666667,15.9705,15.93425
"2019-03-30-13",18.00925,16.3418333333333,16.8180833333333
"2019-03-30-14",18.1856666666667,16.7733333333333,17.6879166666667
"2019-03-30-15",18.44725,17.24675,18.50975
"2019-03-30-16",18.72775,17.7505,19.1818333333333
"2019-03-30-17",19.003,18.2323333333333,19.5335
"2019-03-30-18",19.2205,18.6181666666667,19.3056666666667
"2019-03-30-19",19.41625,18.8135833333333,18.6713333333333
"2019-03-30-20",19.5866666666667,18.82675,18.049
"2019-03-30-21",19.67475,18.727,17.4623333333333
"2019-03-30-22",19.6881666666667,18.5630833333333,16.91775
"2019-03-30-23",19.6420833333333,18.35,16.4165
"2019-03-31-00",19.5454166666667,18.1091666666667,15.96475
"2019-03-31-01",19.4263333333333,17.8501666666667,15.5315833333333
"2019-03-31-03",19.28425,17.5795833333333,15.1074166666667
"2019-03-31-04",19.1305833333333,17.2995833333333,14.6713333333333
"2019-03-31-05",18.9683333333333,17.0100833333333,14.2385
"2019-03-31-06",18.8054166666667,16.7131666666667,13.8255
"2019-03-31-07",18.6460833333333,16.41725,13.4331666666667
"2019-03-31-08",18.4991666666667,16.13225,13.24075
"2019-03-31-09",18.3639166666667,15.9215833333333,13.56025
"2019-03-31-10",18.2531666666667,15.85725,14.0648333333333
"2019-03-31-11",18.1885833333333,15.9160833333333,14.7785833333333
"2019-03-31-12",18.1629166666667,16.1018333333333,15.5565
"2019-03-31-13",18.18375,16.378,16.3820833333333
"2019-03-31-14",18.2778333333333,16.7330833333333,17.3323333333333
"2019-03-31-15",18.463,17.1653333333333,18.217
"2019-03-31-16",18.7266666666667,17.6485,19.0531666666667
"2019-03-31-17",19.0086666666667,18.1620833333333,19.79825
"2019-03-31-18",19.301,18.6665833333333,20.1980833333333
"2019-03-31-19",19.5376666666667,19.0785,19.9946666666667
"2019-03-31-20",19.7435,19.2958333333333,19.3455833333333
"2019-03-31-21",19.9213333333333,19.3203333333333,18.7118333333333
"2019-03-31-22",20.0236666666667,19.2285,18.11175
"2019-03-31-23",20.04775,19.0674166666667,17.54
"2019-04-01-00",20.0095,18.8526666666667,16.9904166666667
"2019-04-01-01",19.9150833333333,18.6016666666667,16.5005
"2019-04-01-02",19.7829166666667,18.3293333333333,16.024
"2019-04-01-03",19.6295833333333,18.0388333333333,15.5601666666667
"2019-04-01-04",19.4555,17.7379166666667,15.1256666666667
"2019-04-01-05",19.2746666666667,17.43125,14.7063333333333
"2019-04-01-06",19.0900833333333,17.1245833333333,14.311
"2019-04-01-07",18.9085833333333,16.8229166666667,13.93225
"2019-04-01-08",18.7446666666667,16.5363333333333,13.80025
"2019-04-01-09",18.63525,16.3284166666667,14.0550833333333
"2019-04-01-10",18.5248333333333,16.2546666666667,14.60275
"2019-04-01-11",18.4673333333333,16.3320833333333,15.53425
"2019-04-01-12",18.4346666666667,16.5791666666667,16.56225
"2019-04-01-13",18.4735833333333,16.9423333333333,17.4749166666667
"2019-04-01-14",18.6436666666667,17.3560833333333,18.4631666666667
"2019-04-01-15",18.8870833333333,17.8646666666667,19.541
"2019-04-01-16",19.14825,18.4140833333333,19.9440833333333
"2019-04-01-17",19.392,18.86475,20.2434166666667
"2019-04-01-18",19.6006666666667,19.2235,20.2081666666667
"2019-04-01-19",19.8155,19.4536666666667,19.9409166666667
"2019-04-01-20",19.9989166666667,19.56675,19.5338333333333
"2019-04-01-21",20.1325833333333,19.5729166666667,19.03375
"2019-04-01-22",20.2013333333333,19.4915833333333,18.5231666666667
"2019-04-01-23",20.205,19.34425,17.9760833333333
"2019-04-02-00",20.1625833333333,19.1399166666667,17.4435
"2019-04-02-01",20.0860833333333,18.8948333333333,16.9069166666667
"2019-04-02-02",19.96775,18.6209166666667,16.42625
"2019-04-02-03",19.81725,18.3316666666667,15.9568333333333
"2019-04-02-04",19.6541666666667,18.03,15.5006666666667
"2019-04-02-05",19.47675,17.723,15.0783333333333
"2019-04-02-06",19.29475,17.4191666666667,14.7354166666667
"2019-04-02-07",19.1175,17.1305833333333,14.406
"2019-04-02-08",18.9525,16.8609166666667,14.2443333333333
"2019-04-02-09",18.8431666666667,16.6563333333333,14.478
"2019-04-02-10",18.7394166666667,16.5791666666667,14.9608333333333
"2019-04-02-11",18.6709166666667,16.6329166666667,15.6663333333333
"2019-04-02-12",18.6451666666667,16.8156666666667,16.5258333333333
"2019-04-02-13",18.6608333333333,17.1021666666667,17.3640833333333
"2019-04-02-14",18.77475,17.4701666666667,18.35925
"2019-04-02-15",18.9414166666667,17.9168333333333,19.2146666666667
"2019-04-02-16",19.12425,18.3895833333333,19.791
"2019-04-02-17",19.3181666666667,18.7921666666667,19.7343333333333
"2019-04-02-18",19.5151666666667,19.0425833333333,19.54275
"2019-04-02-19",19.6995,19.183,19.3045833333333
"2019-04-02-20",19.8394166666667,19.2411666666667,18.92275
"2019-04-02-21",19.9358333333333,19.2216666666667,18.54775
"2019-04-02-22",19.9853333333333,19.1500833333333,18.272
"2019-04-02-23",19.991,19.0626666666667,18.03725
"2019-04-03-00",19.9646666666667,18.9554166666667,17.7655
"2019-04-03-01",19.91875,18.8330833333333,17.5383333333333
"2019-04-03-02",19.8538333333333,18.7011666666667,17.3204166666667
"2019-04-03-03",19.7735,18.56625,17.1160833333333
"2019-04-03-04",19.68875,18.42225,16.8531666666667
"2019-04-03-05",19.604,18.266,16.5736666666667
"2019-04-03-06",19.5165,18.0923333333333,16.288
"2019-04-03-07",19.4234166666667,17.9166666666667,16.0931666666667
"2019-04-03-08",19.3571666666667,17.7619166666667,16.1279166666667
"2019-04-03-09",19.2964166666667,17.6824166666667,16.45375
"2019-04-03-10",19.2470833333333,17.6933333333333,16.6783333333333
"2019-04-03-11",19.214,17.7445833333333,16.9415833333333
"2019-04-03-12",19.1796666666667,17.8155,16.9654166666667
"2019-04-03-13",19.1429166666667,17.8266666666667,16.3355
"2019-04-03-14",19.1284166666667,17.6675833333333,15.4258333333333
"2019-04-03-15",19.0894166666667,17.3866666666667,14.903
"2019-04-03-16",18.9775833333333,17.11475,14.6558333333333
"2019-04-03-17",18.839,16.8770833333333,14.37175
"2019-04-03-18",18.6935833333333,16.6468333333333,14.0313333333333
"2019-04-03-19",18.5433333333333,16.4029166666667,13.56
"2019-04-03-20",18.3918333333333,16.1251666666667,13.1071666666667
"2019-04-03-21",18.2334166666667,15.8321666666667,12.6438333333333
"2019-04-03-22",18.0669166666667,15.5271666666667,12.1954166666667
"2019-04-03-23",17.9013333333333,15.2226666666667,11.8335
"2019-04-04-00",17.7423333333333,14.9354166666667,11.5430833333333
"2019-04-04-01",17.59175,14.67625,11.2890833333333
"2019-04-04-02",17.4534166666667,14.4380833333333,11.0389166666667
"2019-04-04-03",17.325,14.21475,10.76975
"2019-04-04-04",17.1926666666667,13.99925,10.5251666666667
"2019-04-04-05",17.0554166666667,13.7965,10.3249166666667
"2019-04-04-06",16.9143333333333,13.60625,10.156
"2019-04-04-07",16.773,13.4298333333333,9.98416666666667
"2019-04-04-08",16.64225,13.26675,9.89216666666667
"2019-04-04-09",16.5373333333333,13.127,9.91158333333333
"2019-04-04-10",16.50425,13.0534166666667,10.3436666666667
"2019-04-04-11",16.4966666666667,13.12125,11.243
"2019-04-04-12",16.49675,13.3575,11.8608333333333
"2019-04-04-13",16.5765,13.6155833333333,12.2465
"2019-04-04-14",16.74325,13.87275,12.7381666666667
"2019-04-04-15",16.9429166666667,14.1693333333333,13.33425
"2019-04-04-16",17.1204166666667,14.51125,13.7786666666667
"2019-04-04-17",17.2189166666667,14.8220833333333,13.95775
"2019-04-04-18",17.346,15.0704166666667,14.18125
"2019-04-04-19",17.4033333333333,15.2704166666667,14.0459166666667
"2019-04-04-20",17.44725,15.33675,13.3673333333333
"2019-04-04-21",17.4898333333333,15.2399166666667,12.8129166666667
