"Time","CO2_Interieur_Sud.mean","CO2_Interieur_Nord.mean","CO2_E4000.mean","COV_E4000.mean  x100"
"2020-04-08-02",359.36,330.02675,375.04,10.91675
"2020-04-08-03",358.16,333.2935,383.653,11
"2020-04-08-04",360.1335,336.16,379.01325,11
"2020-04-08-05",361.6535,332.56,381.8135,11.5
"2020-04-08-06",359.83975,334.57325,375.33325,11
"2020-04-08-07",357.97325,333.33325,378.98675,11
"2020-04-08-08",355.8135,330.48,373.1465,10.83325
"2020-04-08-09",351.36,325.74675,368.9065,10.08325
"2020-04-08-10",345.46675,320.7065,365.33325,10
"2020-04-08-11",341.01325,316.613,360.48,10
"2020-04-08-12",338.29325,311.1865,353.4135,10.24975
"2020-04-08-13",334.55975,304.4265,349.4665,11
"2020-04-08-14",334.19975,304.07975,350.29325,11
"2020-04-08-15",334.05325,304.19975,340.3865,11
"2020-04-08-16",330.94675,302.6,351.6535,10.91675
"2020-04-08-17",334.28,305.02675,350.96,10.91675
"2020-04-08-18",335.68,305.86675,348.2665,10.16675
"2020-04-08-19",340.21325,309.02675,355.70675,11
"2020-04-08-20",342.187,318.11975,355.12025,10.50025
"2020-04-08-21",344.9065,318.53325,362.4265,10.5835
"2020-04-08-22",349.2,320.0135,365.84,10.83325
"2020-04-08-23",354.5865,322.92,367.28,11
"2020-04-09-00",358.16,329.4535,368.1335,11
"2020-04-09-01",363.2,331.84,376.9335,10.91675
"2020-04-09-02",364.77325,330.72,377.7065,11
"2020-04-09-03",365.97325,336.4,378.32,10.91675
"2020-04-09-04",362.72,335.2265,386.90675,10.91675
"2020-04-09-05",366.18675,339.54675,384.24,10.91675
"2020-04-09-06",366.18675,338.42675,384.88,10.91675
"2020-04-09-07",363.7335,339.51975,381.2535,10.08325
"2020-04-09-08",356.9335,337.6,379.4135,10
"2020-04-09-09",353.2,329.85325,376.48025,10
"2020-04-09-10",347.06675,325.44,369.97325,10
"2020-04-09-11",342.13325,318.43975,365.65325,10
"2020-04-09-12",335.89325,308.44025,354.13325,10
"2020-04-09-13",329.2535,303.02675,350.32,10
"2020-04-09-14",329.86675,299.68025,346.1065,10.25
"2020-04-09-15",331.4,300.01325,346.0665,10.33325
"2020-04-09-16",331.1335,299.5335,344.8,10.08325
"2020-04-09-17",335.54675,301.4135,344.96,10.1665
"2020-04-09-18",336.18675,304.44,348.13325,10.33325
"2020-04-09-19",343.2,312.26675,356.24,11
"2020-04-09-20",346.69325,317.2665,359.25325,11
"2020-04-09-21",352.37325,324.17325,367.8135,11.08325
"2020-04-09-22",359.68,329.307,377.38675,11
"2020-04-09-23",365.44025,333.78675,373.14675,11
"2020-04-10-00",369.01325,336.34675,381.81325,11
"2020-04-10-01",372.6135,341.92,380.61325,11
"2020-04-10-02",375.65325,343.28,391.52,11
"2020-04-10-03",374.08,343.11975,395.2265,11
"2020-04-10-04",373.33325,346.96,393.6,10.25
"2020-04-10-05",373.94675,346.18675,389.04,10.25
"2020-04-10-06",369.44,346.05325,388.80025,10
"2020-04-10-07",370.37325,342.3735,392.53325,10
"2020-04-10-08",380.50675,354.88,407.20025,10.25
"2020-04-10-09",384.2135,359.25325,408.64,10
"2020-04-10-10",375.3335,349.04,388.7465,10
"2020-04-10-11",365.17325,339.09325,383.6,10
"2020-04-10-12",356.50675,333.3865,375.14675,10.08325
"2020-04-10-13",349.0135,323.52,369.97325,10.24975
"2020-04-10-14",343.81325,319.34675,355.04,10.66675
"2020-04-10-15",338.8535,312.96,354.55975,9.66675
"2020-04-10-16",339.3335,311.09325,354.21325,7
"2020-04-10-17",342.34675,310.53325,359.2265,7
"2020-04-10-18",342.8,310.58675,363.3865,7
"2020-04-10-19",345.14675,316.35975,357.89325,7.3335
"2020-04-10-20",348.96,325.50675,364.1335,7.66675
"2020-04-10-21",354.26675,325.0265,372.3735,8
"2020-04-10-22",362.37325,330.86675,372.21325,8
"2020-04-10-23",365.52,334.82675,376.8265,8
"2020-04-11-00",367.92,336.88,380.64,8
"2020-04-11-01",371.3865,340.18675,382.6135,8
"2020-04-11-02",370.8265,340.45325,386.96,8
"2020-04-11-03",372.34675,342.05325,388.1335,8
"2020-04-11-04",372.32,343.36,392.98675,8
"2020-04-11-05",371.6,343.52,391.6535,8
"2020-04-11-06",370,344.13325,389.89325,7.91675
"2020-04-11-07",370.26675,342.82675,392.90675,8
"2020-04-11-08",365.7865,340.32,389.38675,7.6665
"2020-04-11-09",360.0535,337.6,376.64,7.5
"2020-04-11-10",349.75975,324.76025,367.4665,7.91675
"2020-04-11-11",347.83975,317.9335,361.65325,8
"2020-04-11-12",340.48,312.84,355.78675,8
"2020-04-11-13",337.28,307.64,351.4665,8
"2020-04-11-14",333.93325,306.8535,348.21325,8.25
"2020-04-11-15",332.34675,304.26675,343,8.16675
"2020-04-11-16",332.82675,304.28,352.66675,8
"2020-04-11-17",335.68,302.10675,354.6665,7.5
"2020-04-11-18",337.06675,301.21325,349.78675,7
"2020-04-11-19",339.06675,308.6135,353.81325,7.83325
"2020-04-11-20",343.12,313.7735,358.0535,7.16675
"2020-04-11-21",348.26675,318.52,365.83975,7.50025
"2020-04-11-22",349.99975,320.85325,363.12,7.75025
"2020-04-11-23",353.33325,321.0265,375.04,8
"2020-04-12-00",360.74675,326.94675,377.46675,8
"2020-04-12-01",360.24,328.42675,375.8935,7.33325
"2020-04-12-02",356.26675,325.26675,372.08,7
"2020-04-12-03",349.947,320.20025,369.73325,7.5
"2020-04-12-04",349.2265,317.42675,361.413,8.25
"2020-04-12-05",347.84025,320.82675,362.98675,9.6665
"2020-04-12-06",349.84025,317.5065,371.1735,11.25
"2020-04-12-07",349.54675,319.4665,371.41325,12.08325
"2020-04-12-08",346.64,318.36,368.6135,12.08325
"2020-04-12-09",342.9335,316.53325,361.2,12.25
"2020-04-12-10",339.3865,310.84025,355.94675,12.33325
"2020-04-12-11",332.62675,299.94675,347.6135,11.16675
"2020-04-12-12",323.84025,293.4535,344.08,10
"2020-04-12-13",319.77325,291.01325,338.24,10
"2020-04-12-14",317.44,285.8,333.94675,10
"2020-04-12-15",318.52025,284.9335,334.44025,9.8335
"2020-04-12-16",318.6135,282.78675,335.46675,9.5
"2020-04-12-17",318.3465,283.28025,331.30675,8.91675
"2020-04-12-18",315.85325,286.28025,330.0665,8.8335
"2020-04-12-19",321.50675,289.28,334.56,8.91675
"2020-04-12-20",322.0135,289.42675,335.57325,9
"2020-04-12-21",325.45325,293.85325,344.48,8.75
"2020-04-12-22",329.24,293.60025,337.4665,8.1665
"2020-04-12-23",329.49325,295.2935,342.16025,8
"2020-04-13-00",330.88025,296.5465,339.26675,7.91675
"2020-04-13-01",330.25325,294.94675,344.24,7.1665
"2020-04-13-02",333.30675,299.60025,349.2,7.5
"2020-04-13-03",333.93325,301.96,347.0135,7
"2020-04-13-04",335.5735,304.68,350.587,7.16675
"2020-04-13-05",336.32,307.88025,346.6265,7
"2020-04-13-06",332.57325,305.0935,357.36,7
"2020-04-13-07",337.5735,308.2,351.57325,7
"2020-04-13-08",333.6,306.69325,351.7865,7
"2020-04-13-09",331.7465,302.77325,353.54675,7
"2020-04-13-10",327.76,301.8665,344.10675,7
"2020-04-13-11",324.7065,292.3335,343.72,7
"2020-04-13-12",321.0265,290.25325,340.35975,7
"2020-04-13-13",319.60025,290.53325,335.94675,7
"2020-04-13-14",315.18675,286.28,332.11975,7.16675
"2020-04-13-15",313.94675,283.8665,325.57325,7.8335
"2020-04-13-16",315.44,284.93325,323.8,8
"2020-04-13-17",315.2665,283.34675,326.49325,8
"2020-04-13-18",318.7865,286.52,324.28,7.91675
"2020-04-13-19",319.1335,284.84,328.13325,7.83325
"2020-04-13-20",322.34675,287.41325,331.16,8.1665
"2020-04-13-21",323.23975,291.52,337.96,8.08325
"2020-04-13-22",328.46675,293.77325,332.9465,8.66675
"2020-04-13-23",328.74675,294.53325,348.48,9
"2020-04-14-00",331.20025,299.29325,345.77325,9
"2020-04-14-01",332.787,302.94675,356.07975,8
"2020-04-14-02",337.3065,304.93325,345.4665,8.08325
"2020-04-14-03",340.2665,306.32,347.43975,8
"2020-04-14-04",337.8665,308.3465,356.34675,8
"2020-04-14-05",342.5065,311.013,360.7465,8
"2020-04-14-06",341.9735,310.19975,363.84,8
"2020-04-14-07",343.17325,316.27975,363.7335,8
"2020-04-14-08",339.12,313.3735,360.61325,8
"2020-04-14-09",334.46675,308.6,349.49325,7.6665
"2020-04-14-10",350.16,333.64,369.3335,7.66675
"2020-04-14-11",345.52,319.93325,359.9465,7
"2020-04-14-12",337.36,311.067,355.01325,7
"2020-04-14-13",330.5735,305.867,345.5335,7.25
"2020-04-14-14",329.66675,303.0135,346.82675,7.3335
"2020-04-14-15",329.82675,300.52,344.69325,7.6665
"2020-04-14-16",331.64,300.0265,349.70675,7.33325
"2020-04-14-17",332.4135,298.187,348.64025,7
"2020-04-14-18",335.6535,304.76,343.52,6.41675
"2020-04-14-19",336.6665,306.6,347.4135,6.41675
"2020-04-14-20",338.88,308.52,355.0935,7
"2020-04-14-21",341.76025,313.27975,353.12,7
"2020-04-14-22",345.5465,312.93325,353.46675,7
"2020-04-14-23",345.94675,314.42675,361.4665,7
"2020-04-15-00",349.19975,317.26675,359.25325,7
"2020-04-15-01",349.67975,319.0135,358,7
"2020-04-15-02",351.0665,317.93325,364.13325,7
"2020-04-15-03",348.50675,317.33325,366.96,6.91675
"2020-04-15-04",343.97325,313.94675,359.12,6.66675
"2020-04-15-05",340.29325,309.53325,354.8,6.08325
"2020-04-15-06",334.61325,301.5065,347.5335,6
"2020-04-15-07",328.72025,298.86675,345.84,6
"2020-04-15-08",323.28025,294.2935,337.21325,6
"2020-04-15-09",318.3865,288.68,339.45325,5.8335
"2020-04-15-10",312.7865,287.44,341.84025,5.16675
"2020-04-15-11",312.70675,280.20025,335.45325,5.5835
"2020-04-15-12",308.34675,279.94675,333.24,5.6665
"2020-04-15-13",306.50675,275.61325,326.46675,5.91675
"2020-04-15-14",303.20025,273.54675,315.9065,6.5
"2020-04-15-15",305,272.5465,323.4265,7
"2020-04-15-16",306.21325,273.52,317.87975,7
"2020-04-15-17",311.28025,278.0135,321.3065,7
"2020-04-15-18",312.1735,279.85325,320.8935,7.75
"2020-04-15-19",315.6,283.77325,331.04,8
"2020-04-15-20",321.9465,288.01325,332.87975,8
"2020-04-15-21",325.44,293.69325,335.82675,8
"2020-04-15-22",329.10675,298.6135,342.57325,7.75
"2020-04-15-23",329.50675,299.09325,342.78675,7.3335
"2020-04-16-00",332.8535,297.44,340.2,7
"2020-04-16-01",330.16,296.76,337.3335,7
"2020-04-16-02",334.50675,298.54675,347.73325,7.66675
"2020-04-16-03",338.7465,304.9335,347.48,8
"2020-04-16-04",341.38675,303.68025,353.89325,8
"2020-04-16-05",341.83975,307.8535,348.0535,8
"2020-04-16-06",341.51975,309.29325,353.92,8
"2020-04-16-07",339.33325,309.61325,355.57325,8
"2020-04-16-08",339.54675,310.67975,355.97325,7.75
"2020-04-16-09",334.66675,305.04,353.51975,7.8335
"2020-04-16-10",330.44,303,344.0265,7.5835
"2020-04-16-11",322.34675,294.8535,344.2135,7.08325
"2020-04-16-12",320.2535,288.51975,333.573,7
"2020-04-16-13",314.013,281.18675,331.4,7
"2020-04-16-14",309.3465,280.42675,328.46675,7.25
"2020-04-16-15",312.9335,277.02675,319.97325,7
"2020-04-16-16",314.18675,281.02675,328.8935,7.08325
"2020-04-16-17",316.34675,281.12,329.34675,7
"2020-04-16-18",315.3465,283.87975,332.1465,7.08325
"2020-04-16-19",321.6,287.10675,332.96,7
"2020-04-16-20",322.36,290.0265,337.08,7
"2020-04-16-21",328.09325,292.28025,341.0935,8
"2020-04-16-22",330.2935,297.53325,344.72025,8
"2020-04-16-23",336.53325,299.36,346.32,8
"2020-04-17-00",334.08,301.28,343.8935,7.83325
"2020-04-17-01",333.36,301.3865,346.96,7
"2020-04-17-02",332.30675,296.7735,347.68,6.75025
"2020-04-17-03",331.28,293.86675,342.56,6
"2020-04-17-04",329.7335,297.0935,344.54675,7
"2020-04-17-05",329.89325,299.34675,344.5335,7
"2020-04-17-06",333.98675,300.61325,346.2135,7.66675
"2020-04-17-07",334.49325,302.93325,349.2535,7.6665
"2020-04-17-08",334.56,304.77325,350.00025,8.25
"2020-04-17-09",329.1735,303.61325,346.82675,9
"2020-04-17-10",323.9465,295.69325,342.5065,9
"2020-04-17-11",318.61325,290.01325,337.23975,8.5
"2020-04-17-12",313.62675,282.68,326.06675,7.66675
"2020-04-17-13",307.8665,276.35975,319.41325,7
"2020-04-17-14",304.17325,273.84,316.13325,7
"2020-04-17-15",305.42675,270.78675,320.81325,7.75
"2020-04-17-16",306.36,273.44,318.97325,7.66675
"2020-04-17-17",307.77325,273.8535,315.8935,8
"2020-04-17-18",307.693,278.0265,316.3335,8.16675
"2020-04-17-19",312.68025,277.93325,321.89325,8.33325
"2020-04-17-20",313.6935,280.12025,325.48,8
"2020-04-17-21",312.53325,284.4135,325.2265,7.5
"2020-04-17-22",316.5735,282.0135,326.2,7
"2020-04-17-23",315.6,283.67975,327.21325,7
"2020-04-18-00",319.9335,281.58675,334.8535,7
"2020-04-18-01",319.58675,284.28,339.1465,7.5
"2020-04-18-02",318.84,288.78675,337.57325,8
"2020-04-18-03",321.6265,288.0535,333.2135,8.25
"2020-04-18-04",317.77325,288.8535,332.4935,9
"2020-04-18-05",320.33325,292.8535,335.707,9.16675
"2020-04-18-06",326.7735,296.6665,340.13325,9.5
"2020-04-18-07",326.82675,294.33325,348.06675,9
"2020-04-18-08",326.33325,299.77325,345.3335,9
"2020-04-18-09",320.7735,293.45325,339.1735,9
"2020-04-18-10",316.3465,290.28025,336.09325,9
"2020-04-18-11",315.20025,288.0135,325.9065,9
"2020-04-18-12",313.03975,282.9465,331.81325,9
"2020-04-18-13",310.307,278.93325,323.61325,9
"2020-04-18-14",306.28,278.5335,321.44025,9.1665
"2020-04-18-15",308.1735,277.84025,323.25325,9.66675
"2020-04-18-16",310.59975,277.10675,325.05325,9.3335
"2020-04-18-17",312.34675,282.9465,322.9865,10
"2020-04-18-18",314.45325,283.77325,325.213,10
"2020-04-18-19",320.3335,284.36025,328.38675,10
"2020-04-18-20",322.66675,289.933,335.0135,9.8335
"2020-04-18-21",325.85325,291.59975,334.56,9.58325
"2020-04-18-22",327.33325,295.2935,337.3735,10
"2020-04-18-23",334.82675,303.44,345.4665,10
"2020-04-19-00",337.57325,302.01325,350.64,10
"2020-04-19-01",340.4,303.76,348.53325,10
"2020-04-19-02",342.4535,303.8665,355.28,10
"2020-04-19-03",341.44,307.91975,359.97325,10.66675
"2020-04-19-04",345.97325,311.6935,362.48025,11.16675
"2020-04-19-05",347.30675,314.3735,369.44,11
"2020-04-19-06",352.0265,318.85325,365.2,11
"2020-04-19-07",351.84,321.62675,369.44,10.4165
"2020-04-19-08",350.027,316.9335,370.3735,10
"2020-04-19-09",345.57325,318.26675,360.58675,10
"2020-04-19-10",340.48,314.7065,354.13325,10
"2020-04-19-11",336.2665,305.4135,348.24,10
"2020-04-19-12",332.3335,306.28,351.16,10
"2020-04-19-13",328.41325,299.93325,343.9735,9.33325
"2020-04-19-14",323.45325,295.69325,338.3735,10
"2020-04-19-15",324.34675,296.01325,339.1735,10
"2020-04-19-16",321.52025,290.24025,337.0265,10
"2020-04-19-17",319.02675,286.02675,336.04,10
"2020-04-19-18",318.84025,287.6,329.98675,10
"2020-04-19-19",318.0935,285.6135,330.68,10.6665
"2020-04-19-20",318.66675,283.21325,335.66675,10.83325
"2020-04-19-21",317.2665,282.8665,330.24,10.66675
"2020-04-19-22",316.1065,286.42675,330.65325,10.41675
"2020-04-19-23",317.45325,285.0935,332.19975,10.75025
"2020-04-20-00",317.10675,288.28025,332.42675,10.5835
"2020-04-20-01",317.0135,289.1865,333.33325,11
"2020-04-20-02",317.45325,291.34675,332.13325,11.08325
"2020-04-20-03",318.7865,288.1735,335.6265,11
"2020-04-20-04",321.0265,290.37325,341.24,11.08325
"2020-04-20-05",320.52,292.44025,337.92025,11.08325
"2020-04-20-06",321.19975,293.6,338.48,11
"2020-04-20-07",322.1865,294.78675,339.16025,11
"2020-04-20-08",324.36,295.68,347.3065,11
"2020-04-20-09",323.85325,296.02675,345.81325,10.75
"2020-04-20-10",319.42675,292.35975,332.03975,10.5835
"2020-04-20-11",318.50675,287.59975,332.8935,10.75
"2020-04-20-12",317.01325,286.42675,329.9865,11
"2020-04-20-13",314.33325,282.0935,331.83975,11
"2020-04-20-14",315.82675,285.61325,330.25325,11.5
"2020-04-20-15",314.28,283.94675,328.1465,11.5
"2020-04-20-16",315.6935,284,324.54675,12
"2020-04-20-17",315.96025,284.8,329.24,12.25
"2020-04-20-18",316.44025,286.04,332.04,12.5835
"2020-04-20-19",317.9335,285.9465,331.48,12
"2020-04-20-20",319.52025,286.85325,333.5065,12
"2020-04-20-21",321.36,289.04,339.65325,12.4165
"2020-04-20-22",323.0935,290.29325,338.2,13
"2020-04-20-23",327.96,291.28,341.25325,12.75025
"2020-04-21-00",330.02675,294.0265,352.10675,12.667
"2020-04-21-01",331.5065,301.10675,349.57325,12.8335
"2020-04-21-02",335.4135,305.6935,349.57325,12.24975
"2020-04-21-03",337.013,310.83975,355.8935,12
"2020-04-21-04",337.65325,312.52025,357.94675,12
"2020-04-21-05",343.75975,315.5065,362.88,12
"2020-04-21-06",342.18675,316.68,357.867,12
"2020-04-21-07",344.53325,321.76,363.5735,12
"2020-04-21-08",346.69325,320.12025,365.0665,12
"2020-04-21-09",342.26675,320.04,363.81325,11.66675
"2020-04-21-10",342.50675,311.26675,360.82675,11.5
"2020-04-21-11",337.4665,310.72,360.96,11.08325
"2020-04-21-12",334.29325,309.82675,353.84,11
"2020-04-21-13",334.7735,306.41325,359.04,11
"2020-04-21-14",330.78675,302.8265,351.09325,11
"2020-04-21-15",331.02675,303.0135,349.6265,11.08325
"2020-04-21-16",332.1465,301.10675,338.56,11.4165
"2020-04-21-17",328.24025,298.04,342.81325,11.75
"2020-04-21-18",332.45325,299.93325,334.76025,12
"2020-04-21-19",333.1735,297.5065,346.65325,11.91675
"2020-04-21-20",330.12025,299.70675,347.81325,12
"2020-04-21-21",332.8935,302.53325,347.72,12
"2020-04-21-22",333.10675,305.10675,351.34675,12
"2020-04-21-23",338.61325,304.42675,352.23975,12
"2020-04-22-00",335.70675,308.52,350.88,12
"2020-04-22-01",334.4135,306.44,351.7335,12
"2020-04-22-02",337.17325,309.2665,360.1065,11.58325
"2020-04-22-03",339.6,311.92,356.72025,11.5835
"2020-04-22-04",339.2,308.77325,357.35975,11.5
"2020-04-22-05",340.9865,310.70675,362.07975,11.1665
"2020-04-22-06",338.37325,311.9335,358.21325,11.08325
"2020-04-22-07",338.9865,310.18675,359.19975,11.1665
"2020-04-22-08",338.69325,311.10675,361.49325,12
"2020-04-22-09",337.3065,309.37325,355.43975,12
"2020-04-22-10",332.7335,305.9335,350.98675,12
"2020-04-22-11",329.72,298.09325,350.667,12
"2020-04-22-12",326.547,293.52,347.3065,12
"2020-04-22-13",325.68,291.7865,341.76,12.16675
"2020-04-22-14",325.69325,289.86675,334,12
"2020-04-22-15",321.84,287.8665,337.84,11.25
"2020-04-22-16",323.0935,287.36,333.22675,11
"2020-04-22-17",321.1865,290.5465,332.36,10.5
"2020-04-22-18",323.51975,287.1735,334.52,10
"2020-04-22-19",325.5335,289.36,341.01325,10.08325
"2020-04-22-20",328.3465,294.85325,341.4535,10.5835
"2020-04-22-21",334.86675,299.74,345.10675,11
"2020-04-22-22",338.32,306.387,363.7065,11
"2020-04-22-23",340.48,304.6935,358.31975,10.5835
"2020-04-23-00",340.48,306.14675,360.0535,10
"2020-04-23-01",339.52025,302.94675,349.78675,10
"2020-04-23-02",342.56,303.7865,353.65325,10.25
"2020-04-23-03",342.96025,307.02675,356.88,10.08325
"2020-04-23-04",341.46675,309.4535,358.93325,10.6665
"2020-04-23-05",341.70675,309.70675,361.28,11
"2020-04-23-06",343.6,315.19975,359.19975,11
"2020-04-23-07",347.6,315.6,370.96,11
"2020-04-23-08",353.03975,328.39975,381.4935,10.8335
"2020-04-23-09",357.22675,329.25325,379.3865,10.66675
"2020-04-23-10",351.44,327.907,372.56,10.5
"2020-04-23-11",349.4135,319.68,359.97325,10.16675
"2020-04-23-12",342,313.9335,358.587,10.25
"2020-04-23-13",337.8935,310.52,356.93325,11
"2020-04-23-14",336.37325,305.18675,356.98675,10.83325
"2020-04-23-15",338.45325,301.36,345.06675,10.91675
"2020-04-23-16",335.9465,305.44025,349.89325,10.75
"2020-04-23-17",337.57325,302.66675,349.30675,11
"2020-04-23-18",337.68,304.8665,352.37325,11.33325
"2020-04-23-19",341.41325,309.18675,356.08,12
"2020-04-23-20",343.7865,313.44,358.26675,11.91675
"2020-04-23-21",348.85325,314.2935,363.1735,12
"2020-04-23-22",355.52,318.0265,373.46675,12
"2020-04-23-23",358.32,323.42675,374.4,12
"2020-04-24-00",361.5735,327.08,372.32,11.91675
"2020-04-24-01",362.93325,329.46675,384.373,11.91675
"2020-04-24-02",362.24,329.23975,384.9865,12
"2020-04-24-03",367.4935,331.96,384.7735,11.41675
"2020-04-24-04",367.3335,337.9465,388.6665,11.5
"2020-04-24-05",369.52,335.3465,390.027,11.16675
"2020-04-24-06",369.28,336.24,398.82675,11
"2020-04-24-07",371.1465,341.33325,395.54675,11
"2020-04-24-08",370.21325,337.6,386.4265,11
"2020-04-24-09",361.84,337.05325,383.60025,11
"2020-04-24-10",356.56,329.38675,380.66675,11
"2020-04-24-11",350.29325,323.6,372,10.91675
"2020-04-24-12",346.53325,314.6,358.50675,10.08325
"2020-04-24-13",339.28,306.43975,352.56,10.1665
"2020-04-24-14",334.93325,303.01325,349.97325,10.5
"2020-04-24-15",337.7065,304.18675,351.89325,11
"2020-04-24-16",336.61325,302.7065,353.89325,10.33325
"2020-04-24-17",335.587,302.12025,353.4135,9.91675
"2020-04-24-18",339.46675,309.52025,357.3865,10
"2020-04-24-19",344.24,310.93325,368.72,10.41675
"2020-04-24-20",351.09325,312.58675,372.24,11
"2020-04-24-21",354.13325,323.28,375.67975,11
"2020-04-24-22",364.26675,331.08025,383.19975,11
"2020-04-24-23",371.12,333.64,395.0135,11.1665
"2020-04-25-00",378.8,338.77325,395.86675,11
"2020-04-25-01",379.43975,340.9335,401.12,10.91675
"2020-04-25-02",380.45325,346.8,400.56,10.91675
"2020-04-25-03",380.21325,344.96,395.8935,10.91675
"2020-04-25-04",376.64,346.45325,401.067,11
"2020-04-25-05",378.69325,345.67975,400.96,11
"2020-04-25-06",378.42675,349.04,399.38675,11
"2020-04-25-07",377.49325,348.37325,401.44,11
"2020-04-25-08",373.68,342.3465,391.49325,10
"2020-04-25-09",365.6265,338.6935,386.56,10
"2020-04-25-10",362.77325,330.81325,382.293,10
"2020-04-25-11",352.2135,320.6265,367.86675,10
"2020-04-25-12",341.09325,311.26675,362.96,9.41675
"2020-04-25-13",342.05325,309.84,353.81325,10
"2020-04-25-14",341.49325,308.18675,353.9735,10
"2020-04-25-15",336.76025,301.36,356.0265,10
"2020-04-25-16",338.61325,303.85325,359.06675,10
"2020-04-25-17",343.44025,307.96,361.92,10.08325
"2020-04-25-18",345.04,312.2665,369.04,10
"2020-04-25-19",350.77325,317.29325,373.4665,10.83325
"2020-04-25-20",357.44,321.68,376.85325,10.58325
"2020-04-25-21",361.6,328.82675,378.45325,10.25
"2020-04-25-22",362.02675,325.74675,376.18675,10.41675
"2020-04-25-23",364.98675,329.56025,381.62675,11
"2020-04-26-00",366,332.18675,382.98675,11
"2020-04-26-01",363.89325,331.10675,378.0535,11
"2020-04-26-02",362.61325,331.35975,380.88,11.1665
"2020-04-26-03",361.65325,332.70675,376.8265,11.16675
"2020-04-26-04",361.12,330.2935,380.66675,11
"2020-04-26-05",357.973,326.093,376.77325,11.08325
"2020-04-26-06",356.85325,322.86675,372.21325,11
"2020-04-26-07",354.5065,324.88,373.6,11
"2020-04-26-08",354.293,322.9465,371.41325,10.75
"2020-04-26-09",348.4265,320.3465,366.53325,10.66675
"2020-04-26-10",347.06675,314.44,364.64,10.91675
"2020-04-26-11",341.44025,311.44,359.78675,10.33325
"2020-04-26-12",336.2935,303.2665,354.50675,10
"2020-04-26-13",330.94675,297.1865,350.32025,10
"2020-04-26-14",331.04,297.6135,345.94675,10
"2020-04-26-15",328.77325,293.85325,341.03975,10.33325
"2020-04-26-16",331.18675,293.52,347.76,11
"2020-04-26-17",330.65325,296.92,352.53325,11
"2020-04-26-18",334.64,299.96025,357.38675,11
"2020-04-26-19",336.9865,300.96,354.48025,11.08325
"2020-04-26-20",343.6265,305.4935,353.09325,11.33325
"2020-04-26-21",344.7735,306.69325,362.77325,11.25
"2020-04-26-22",348.2135,314.6935,357.33325,11
"2020-04-26-23",348.34675,315.05325,365.7865,11.3335
"2020-04-27-00",351.92025,319.01325,369.14675,11.24975
"2020-04-27-01",355.28,320.52,369.09325,11.5835
"2020-04-27-02",349.7065,318.36,373.46675,11.1665
"2020-04-27-03",349.44025,319.77325,371.73325,11
"2020-04-27-04",351.84,315.36,374.32,11
"2020-04-27-05",347.41325,320.6135,366.48,11
"2020-04-27-06",346.5865,317.36,364.16,11
"2020-04-27-07",344.58675,316.19975,368.85325,11
"2020-04-27-08",342.10675,311.36,365.46675,11
"2020-04-27-09",343.01325,312.86675,365.70675,11
"2020-04-27-10",340.24025,309.28025,353.65325,11
"2020-04-27-11",334.187,301.5335,356.1865,11
"2020-04-27-12",333.94675,300.10675,345.89325,11
"2020-04-27-13",329.54675,292.84,346.15975,10.91675
"2020-04-27-14",320.66675,291.27975,341.73325,10.8335
"2020-04-27-15",320.04,281.69325,341.49325,11
"2020-04-27-16",317.20025,283.0135,328.7335,10.08325
"2020-04-27-17",317.53325,282.61325,335.64,11
"2020-04-27-18",321.13325,284.69325,338.1465,11.08325
"2020-04-27-19",320.69325,286.12025,338.37325,11.25
"2020-04-27-20",324.1865,289.52,341.1335,11.83325
"2020-04-27-21",325.68,289.7735,343.92,12
"2020-04-27-22",326.43975,293.28,345.78675,11.75
"2020-04-27-23",331.1865,296.94675,343.8135,11.5835
"2020-04-28-00",329.74675,299.6,353.25325,11.83325
"2020-04-28-01",332.69325,301.10675,355.41325,12
"2020-04-28-02",334.1335,301.60025,356.58675,12
"2020-04-28-03",334.5335,303.4265,355.0135,12
"2020-04-28-04",334.24,304.52,354.40025,12
"2020-04-28-05",335.5735,304.92025,352.66675,12
"2020-04-28-06",336.2935,302.52,357.02675,12
"2020-04-28-07",333.97325,302.8535,353.44,12
"2020-04-28-08",331.46675,301.1865,351.3065,12.25
"2020-04-28-09",325.25325,296.013,350.45325,12.5835
"2020-04-28-10",323.02675,291.96,345.2535,12
"2020-04-28-11",320.10675,292.10675,341.88,12
"2020-04-28-12",318.4935,286.4535,338.64,12
"2020-04-28-13",317.5335,287.18675,346.46675,12
"2020-04-28-14",318.61325,288.17325,347.2535,12
"2020-04-28-15",318.52,291.4265,343,12
"2020-04-28-16",319.3735,290.34675,345.74675,12
"2020-04-28-17",316.28,288.45325,341.72,12
"2020-04-28-18",320.86675,290.18675,340.16,12
"2020-04-28-19",322.6135,291.10675,345.37325,12
"2020-04-28-20",323.70675,288.94675,339.16,12
"2020-04-28-21",321.2665,290.96025,344.72,12
"2020-04-28-22",321.53325,290.6135,343.3065,12.08325
"2020-04-28-23",319.9335,289.4265,347.4,12
"2020-04-29-00",312.52,282.9465,342.64025,11.75
"2020-04-29-01",311.9465,283.853,334.68,11
"2020-04-29-02",310.28025,279.1065,336.66675,11
"2020-04-29-03",305.5065,277.44,333.53325,11
"2020-04-29-04",305.61325,276.613,337.32,11
"2020-04-29-05",312.01325,278.76,332.57325,11
