"Time","CO2_Interieur_Sud.mean","CO2_Interieur_Nord.mean","CO2_E4000.mean","COV_E4000.mean  x100"
"2019-04-14-01",379.7335,369.00675,365.5785,73.01675
"2019-04-14-02",381.125,370.8855,366.912,72.55
"2019-04-14-03",376.768,371.76,364.44275,71.3165
"2019-04-14-04",380.1865,371.168,365.04525,70.0165
"2019-04-14-05",374.20575,369.15725,364.31975,68.73325
"2019-04-14-06",378.84275,370.50675,365.328,67.2665
"2019-04-14-07",380.336,370.9725,365.68025,65.93325
"2019-04-14-08",378.22925,367.7065,366.60275,65.78325
"2019-04-14-09",374.8855,363.7135,361.49875,65.45025
"2019-04-14-10",367.4775,359.75475,357.472,64
"2019-04-14-11",358.164,353.06125,350.78925,61.59975
"2019-04-14-12",358.608,348.7305,344.88825,60.1335
"2019-04-14-13",352.90125,343.637,339.4855,60.1835
"2019-04-14-14",351.344,339.8825,335.7495,60.16675
"2019-04-14-15",350.99175,335.38625,334.296,60.85
"2019-04-14-16",347.98175,339.408,337.72025,64.05
"2019-04-14-17",356.42675,344.33075,339.1255,67.73325
"2019-04-14-18",358.26675,347.0665,344.73875,69.95
"2019-04-14-19",363.1735,351.08775,348.5895,69.1
"2019-04-14-20",371.8135,357.8935,353.1225,67.4335
"2019-04-14-21",371.1145,357.60525,354.93325,67.63325
"2019-04-14-22",371.8345,358.10675,355.6535,67.16675
"2019-04-14-23",372.52275,360.7235,356.192,67.9165
"2019-04-15-00",367.30675,360.81575,355.55725,67.46675
"2019-04-15-01",373.328,363.13075,356.4105,66.73325
"2019-04-15-02",374.848,358.02775,357.21075,65.93325
"2019-04-15-03",374.48775,366.32775,358.1265,64.90025
"2019-04-15-04",373.8135,359.00575,358.4,63.85
"2019-04-15-05",375.696,367.408,360.41075,62.183
"2019-04-15-06",374.68275,364.67725,361.0135,60.55
"2019-04-15-07",378.41075,366.537,364.688,59.817
"2019-04-15-08",384.5545,372.304,372.128,60.09975
"2019-04-15-09",453.86675,412.3145,432.74675,62.6665
"2019-04-15-10",501.23725,464.944,484.71225,67.45
"2019-04-15-11",545.82925,510.704,531.893,485.757
"2019-04-15-12",527.936,511.7015,518.52275,722.0355
"2019-04-15-13",526.03725,485.94675,502.53325,501.2095
"2019-04-15-14",587.29025,531.47875,563.99025,388.94775
"2019-04-15-15",638.57075,583.8525,594.12375,385.95
"2019-04-15-16",645.27525,614.13325,617.8295,331.383
"2019-04-15-17",600.07275,587.39225,587.07225,298.5835
"2019-04-15-18",563.311,528.8525,546.4,274.98325
"2019-04-15-19",529.8005,520.74675,525.63825,263.05425
"2019-04-15-20",505.60525,505.7305,512.20275,253.10025
"2019-04-15-21",481.47725,489.024,494.30425,239.68325
"2019-04-15-22",465.62525,464.7635,478.34125,225.66675
"2019-04-15-23",463.64775,449.0205,462.5545,213.4
"2019-04-16-00",455.072,440.64225,450.52275,202.93325
"2019-04-16-01",446.8425,429.54075,441.6855,195.4165
"2019-04-16-02",441.349,429.30675,435.936,189.7835
"2019-04-16-03",437.408,426.19725,427.4165,184.6
"2019-04-16-04",434.5495,424.0265,424.7255,179.6165
"2019-04-16-05",432.3415,420.699,419.43475,174.9835
"2019-04-16-06",428.78925,417.8665,418.0425,170.98325
"2019-04-16-07",426.74675,413.96825,415.40275,167.73325
"2019-04-16-08",432.61875,417.84,418.52275,159.44175
"2019-04-16-09",496.20775,444.15175,471.72925,155.06675
"2019-04-16-10",605.2765,549.217,589.971,164.41675
"2019-04-16-11",675.104,621.5895,659.05575,163.85025
"2019-04-16-12",668.69325,628.3735,658.848,163.8835
"2019-04-16-13",630.31475,591.89325,608.67225,716.5615
"2019-04-16-14",603.548,549.15825,586.784,471.67075
"2019-04-16-15",633.4575,600.86925,627.60025,470.51675
"2019-04-16-16",668.0535,622.33075,650.1495,364.25825
"2019-04-16-17",635.53075,602.2905,625.914,311.479
"2019-04-16-18",567.90925,540.6485,566.836,279.43
"2019-04-16-19",529.881,502.91225,531.48075,269.0835
"2019-04-16-20",516.433,484.11725,510.87825,263.71175
"2019-04-16-21",500.214,464.3405,500.65075,255.75
"2019-04-16-22",490.33075,454.56375,485.448,248.25
"2019-04-16-23",478.40025,451.8665,476.7995,239.47775
"2019-04-17-00",470.36825,435.34075,470.27725,232.16675
"2019-04-17-01",459.09975,431.3465,463.6265,223.85
"2019-04-17-02",460.2295,433.456,457.11475,218.5
"2019-04-17-03",451.99475,426.8375,444.92775,212.4165
"2019-04-17-04",446.93325,419.1735,439.9785,205.48325
"2019-04-17-05",434.358,415.291,432.509,202.41675
"2019-04-17-06",439.66925,416.688,432.672,198.1
"2019-04-17-07",442.7415,417.77075,435.81875,192.5665
"2019-04-17-08",476.55125,433.79725,462.839,173.63425
"2019-04-17-09",579.5095,507.04775,548.3625,181.91675
"2019-04-17-10",618.4585,561.312,578.701,180.41675
"2019-04-17-11",656.77875,607.14675,628.64,189.3165
"2019-04-17-12",646.02675,608.39475,623.31775,190.733
"2019-04-17-13",595.1255,558.74675,574.3415,199.5
"2019-04-17-14",552.98125,514.46925,541.0295,197.01675
"2019-04-17-15",524.2055,490.448,516.86425,194.98325
"2019-04-17-16",509.75475,477.74925,501.4455,195.35025
"2019-04-17-17",488.83725,454.0535,483.113,187.73325
"2019-04-17-18",473.1465,444.98125,472.0585,184.9665
"2019-04-17-19",466.7785,438.70925,463.20025,176.60025
"2019-04-17-20",448.26525,440.5495,465.104,174.13325
"2019-04-17-21",447.995,431.24525,461.90925,174.88325
"2019-04-17-22",453.2055,435.696,459.63725,174.3335
"2019-04-17-23",449.71225,433.91575,453.632,169.5835
"2019-04-18-00",438.99725,428.58125,447.0615,163.85
"2019-04-18-01",435.73875,421.3155,439.355,155.25
"2019-04-18-02",426.25125,410.72,427.4345,143.55
