"Time","Mur_Temp_2_2.mean","Mur_Temp_2_3.mean"
"2019-03-29-11",13.4208571428571,13.2267142857143
"2019-03-29-12",13.60675,13.76875
"2019-03-29-13",13.90325,14.52975
"2019-03-29-14",14.2380833333333,15.294
"2019-03-29-15",14.5843333333333,15.9889166666667
"2019-03-29-16",14.965,16.6050833333333
"2019-03-29-17",15.5229166666667,17.166
"2019-03-29-18",15.9525833333333,17.06625
"2019-03-29-19",16.1836666666667,16.4908333333333
"2019-03-29-20",16.2255833333333,15.94675
"2019-03-29-21",16.1645833333333,15.4651666666667
"2019-03-29-22",16.04875,15.0365
"2019-03-29-23",15.90175,14.7109166666667
"2019-03-30-00",15.7423333333333,14.3448333333333
"2019-03-30-01",15.56125,13.96375
"2019-03-30-02",15.3625,13.6046666666667
"2019-03-30-03",15.1495,13.228
"2019-03-30-04",14.9218333333333,12.8558333333333
"2019-03-30-05",14.6835833333333,12.4851666666667
"2019-03-30-06",14.4354166666667,12.1405833333333
"2019-03-30-07",14.1940833333333,11.9593333333333
"2019-03-30-08",14.0019166666667,12.2025833333333
"2019-03-30-09",13.91975,12.6555
"2019-03-30-10",13.95675,13.2449166666667
"2019-03-30-11",14.0975,13.93275
"2019-03-30-12",14.32725,14.6621666666667
"2019-03-30-13",14.62325,15.38875
"2019-03-30-14",14.9626666666667,16.1026666666667
"2019-03-30-15",15.2798333333333,16.7183333333333
"2019-03-30-16",15.6219166666667,17.2745833333333
"2019-03-30-17",16.1589166666667,17.8384166666667
"2019-03-30-18",16.5695,17.759
"2019-03-30-19",16.7925833333333,17.1954166666667
"2019-03-30-20",16.8298333333333,16.62075
"2019-03-30-21",16.7558333333333,16.08525
"2019-03-30-22",16.6186666666667,15.5913333333333
"2019-03-30-23",16.4443333333333,15.1446666666667
"2019-03-31-00",16.2446666666667,14.75875
"2019-03-31-01",16.0330833333333,14.3871666666667
"2019-03-31-03",15.8111666666667,14.01975
"2019-03-31-04",15.5785833333333,13.6385
"2019-03-31-05",15.3385,13.2730833333333
"2019-03-31-06",15.08875,12.9289166666667
"2019-03-31-07",14.83875,12.59775
"2019-03-31-08",14.59175,12.4505833333333
"2019-03-31-09",14.40125,12.7295833333333
"2019-03-31-10",14.3294166666667,13.1619166666667
"2019-03-31-11",14.36675,13.7838333333333
"2019-03-31-12",14.5105,14.47025
"2019-03-31-13",14.74175,15.1765
"2019-03-31-14",15.0339166666667,15.9416666666667
"2019-03-31-15",15.37825,16.6310833333333
"2019-03-31-16",15.6911666666667,17.2288333333333
"2019-03-31-17",16.0308333333333,17.8255
"2019-03-31-18",16.57525,18.46025
"2019-03-31-19",17.0043333333333,18.3961666666667
"2019-03-31-20",17.245,17.8016666666667
"2019-03-31-21",17.2858333333333,17.2268333333333
"2019-03-31-22",17.22325,16.68975
"2019-03-31-23",17.09325,16.1868333333333
"2019-04-01-00",16.9151666666667,15.6933333333333
"2019-04-01-01",16.7069166666667,15.2541666666667
"2019-04-01-02",16.4844166666667,14.8481666666667
"2019-04-01-03",16.2453333333333,14.4455
"2019-04-01-04",15.9981666666667,14.0726666666667
"2019-04-01-05",15.7435833333333,13.7154166666667
"2019-04-01-06",15.4915833333333,13.3884166666667
"2019-04-01-07",15.2395,13.0800833333333
"2019-04-01-08",14.9985833333333,13.0028333333333
"2019-04-01-09",14.816,13.2683333333333
"2019-04-01-10",14.75325,13.8094166666667
"2019-04-01-11",14.8209166666667,14.6729166666667
"2019-04-01-12",15.0410833333333,15.5691666666667
"2019-04-01-13",15.367,16.38475
"2019-04-01-14",15.7265,17.2589166666667
"2019-04-01-15",16.1540833333333,18.1223333333333
"2019-04-01-16",16.596,18.41575
"2019-04-01-17",16.9815,18.7288333333333
"2019-04-01-18",17.338,18.7511666666667
"2019-04-01-19",17.567,18.5138333333333
"2019-04-01-20",17.6778333333333,18.1363333333333
"2019-04-01-21",17.68875,17.6694166666667
"2019-04-01-22",17.6209166666667,17.1960833333333
"2019-04-01-23",17.4946666666667,16.68625
"2019-04-02-00",17.3190833333333,16.20775
"2019-04-02-01",17.1068333333333,15.732
"2019-04-02-02",16.87325,15.3035833333333
"2019-04-02-03",16.6278333333333,14.8961666666667
"2019-04-02-04",16.3719166666667,14.4986666666667
"2019-04-02-05",16.1095833333333,14.1395
"2019-04-02-06",15.8534166666667,13.8544166666667
"2019-04-02-07",15.6086666666667,13.56875
"2019-04-02-08",15.3774166666667,13.4529166666667
"2019-04-02-09",15.1958333333333,13.6839166666667
"2019-04-02-10",15.1105,14.1176666666667
"2019-04-02-11",15.1420833333333,14.7293333333333
"2019-04-02-12",15.2890833333333,15.4416666666667
"2019-04-02-13",15.5233333333333,16.2013333333333
"2019-04-02-14",15.8420833333333,17.1451666666667
"2019-04-02-15",16.2461666666667,18.0068333333333
"2019-04-02-16",16.6705833333333,18.5790833333333
"2019-04-02-17",17.04575,18.5465833333333
"2019-04-02-18",17.3005833333333,18.3938333333333
"2019-04-02-19",17.45275,18.1695
"2019-04-02-20",17.5250833333333,17.7983333333333
"2019-04-02-21",17.5185833333333,17.4481666666667
"2019-04-02-22",17.4641666666667,17.2015833333333
"2019-04-02-23",17.3951666666667,16.9743333333333
"2019-04-03-00",17.3085833333333,16.731
"2019-04-03-01",17.2110833333333,16.5298333333333
"2019-04-03-02",17.10425,16.35125
"2019-04-03-03",16.9976666666667,16.1935833333333
